,0
0,2
1,0
2,2
3,0
4,1
5,1
6,2
7,0
8,1
9,1
10,3
11,0
12,3
13,2
14,0
15,2
16,2
17,2
18,1
19,4
20,0
21,1
22,1
23,1
24,0
25,2
26,3
27,1
28,2
29,3
30,1
31,2
32,1
33,3
34,3
35,1
36,2
37,3
38,0
39,4
40,3
41,3
42,4
43,1
44,0
45,1
46,3
47,0
48,0
49,2
50,2
51,4
52,2
53,4
54,1
55,3
56,0
57,0
58,3
59,1
60,2
61,3
62,1
63,3
64,3
65,1
66,2
67,3
68,2
69,3
70,3
71,0
72,3
73,3
74,1
75,1
76,1
77,2
78,3
79,1
80,1
81,4
82,1
83,4
84,3
85,3
86,0
87,3
88,0
89,3
90,2
91,1
92,2
93,1
94,4
95,3
96,2
97,1
98,2
99,1
100,1
101,0
102,0
103,2
104,0
105,3
106,2
107,3
108,0
109,1
110,3
111,3
112,2
113,4
114,1
115,2
116,2
117,3
118,3
119,0
120,0
121,1
122,2
123,1
124,2
125,2
126,1
127,0
128,3
129,1
130,2
131,3
132,2
133,3
134,3
135,3
136,3
137,0
138,1
139,4
140,3
141,3
142,2
143,1
144,1
145,1
146,2
147,2
148,2
149,0
150,3
151,0
152,3
153,3
154,2
155,3
156,1
157,1
158,1
159,1
160,4
161,1
162,3
163,0
164,3
165,3
166,1
167,1
168,4
169,3
170,2
171,2
172,3
173,3
174,2
175,1
176,0
177,2
178,1
179,3
180,1
181,2
182,3
183,3
184,4
185,3
186,3
187,1
188,1
189,0
190,0
191,1
192,3
193,3
194,3
195,1
196,1
197,1
198,1
199,1
200,2
201,3
202,3
203,1
204,3
205,0
206,2
207,1
208,1
209,1
210,4
211,3
212,1
213,3
214,1
215,3
216,2
217,0
218,2
219,3
220,3
221,3
222,1
223,3
224,2
225,2
226,1
227,2
228,1
229,3
230,3
231,1
232,3
233,3
234,0
235,1
236,2
237,1
238,2
239,2
240,0
241,1
242,3
243,3
244,2
245,2
246,0
247,2
248,2
249,3
250,1
251,4
252,3
253,0
254,1
255,1
256,3
257,3
258,1
259,0
260,0
261,1
262,3
263,1
264,1
265,2
266,3
267,2
268,3
269,2
270,1
271,3
272,3
273,3
274,3
275,0
276,3
277,1
278,1
279,1
280,1
281,1
282,2
283,3
284,1
285,2
286,4
287,2
288,1
289,1
290,2
291,0
292,0
293,2
294,3
295,3
296,3
297,2
298,3
299,2
300,0
301,4
302,1
303,1
304,1
305,2
306,0
307,3
308,2
309,3
310,1
311,0
312,3
313,0
314,3
315,3
316,4
317,1
318,2
319,1
320,2
321,3
322,1
323,1
324,1
325,2
326,3
327,1
328,3
329,1
330,0
331,1
332,0
333,1
334,3
335,2
336,3
337,2
338,2
339,2
340,1
341,1
342,1
343,3
344,3
345,3
346,2
347,1
348,3
349,3
350,2
351,1
352,3
353,2
354,2
355,0
356,3
357,2
358,1
359,1
360,2
361,1
362,3
363,0
364,0
365,1
366,3
367,1
368,2
369,3
370,2
371,1
372,2
373,1
374,1
375,3
376,2
377,3
378,1
379,2
380,1
381,3
382,3
383,3
384,1
385,2
386,2
387,1
388,2
389,3
390,3
391,3
392,3
393,3
394,1
395,3
396,1
397,2
398,2
399,1
400,1
401,1
402,1
403,3
404,3
405,2
406,3
407,1
408,1
409,1
410,0
411,2
412,1
413,3
414,3
415,1
416,3
417,3
418,1
419,1
420,2
421,3
422,1
423,3
424,0
425,3
426,1
427,1
428,2
429,4
430,1
431,1
432,1
433,3
434,3
435,3
436,3
437,2
438,3
439,0
440,3
441,2
442,0
443,1
444,2
445,1
446,0
447,1
448,0
449,0
450,3
451,1
452,1
453,1
454,2
455,3
456,1
457,3
458,3
459,3
460,4
461,1
462,2
463,2
464,3
465,0
466,1
467,0
468,3
469,3
470,1
471,1
472,2
473,2
474,2
475,2
476,0
477,1
478,0
479,3
480,3
481,2
482,1
483,1
484,3
485,3
486,3
487,3
488,1
489,1
490,2
491,3
492,3
493,3
494,2
495,0
496,2
497,1
498,2
499,0
500,2
501,1
502,1
503,3
504,3
505,3
506,3
507,0
508,0
509,1
510,3
511,1
512,1
513,1
514,3
515,2
516,1
517,1
518,1
519,2
520,3
521,3
522,2
523,1
524,3
525,1
526,3
527,0
528,1
529,3
530,2
531,1
532,4
533,1
534,2
535,0
536,2
537,3
538,3
539,3
540,1
541,3
542,1
543,2
544,1
545,1
546,3
547,1
548,3
549,3
550,1
551,1
552,3
553,2
554,2
555,3
556,1
557,1
558,3
559,3
560,2
561,2
562,1
563,3
564,3
565,3
566,3
567,2
568,2
569,1
570,3
571,2
572,1
573,3
574,2
575,1
576,3
577,0
578,1
579,0
580,1
581,1
582,1
583,1
584,1
585,3
586,0
587,1
588,0
589,3
590,3
591,1
592,2
593,2
594,2
595,2
596,2
597,3
598,2
599,1
600,1
601,3
602,2
603,1
604,1
605,0
606,3
607,0
608,0
609,3
610,2
611,1
612,2
613,2
614,1
615,1
616,3
617,1
618,0
619,1
620,3
621,2
622,1
623,1
624,3
625,1
626,0
627,3
628,3
629,2
630,1
631,2
632,1
633,2
634,3
635,3
636,1
637,3
638,1
639,3
640,4
641,3
642,1
643,1
644,4
645,3
646,2
647,0
648,3
649,1
650,1
651,3
652,4
653,3
654,1
655,1
656,3
657,2
658,2
659,0
660,3
661,2
662,0
663,3
664,1
665,1
666,1
667,1
668,2
669,2
670,1
671,1
672,2
673,4
674,4
675,4
676,4
677,4
678,4
679,2
680,4
681,2
682,2
683,2
684,2
685,1
686,2
687,1
688,2
689,1
690,3
691,1
692,3
693,0
694,2
695,3
696,0
697,3
698,2
699,3
700,1
701,2
702,3
703,3
704,3
705,0
706,3
707,3
708,4
709,3
710,0
711,0
712,0
713,0
714,0
715,2
716,2
717,2
718,1
719,1
720,0
721,0
722,1
723,1
724,3
725,1
726,3
727,0
728,1
729,2
730,0
731,1
732,1
733,3
734,1
735,3
736,2
737,1
738,0
739,2
740,2
741,3
742,2
743,1
744,2
745,2
746,1
747,3
748,3
749,1
750,3
751,1
752,1
753,2
754,1
755,2
756,1
757,1
758,0
759,3
760,1
761,2
762,2
763,1
764,0
765,0
766,0
767,2
768,2
769,3
770,2
771,3
772,1
773,1
774,1
775,1
776,1
777,0
778,0
779,2
780,2
781,2
782,2
783,1
784,1
785,3
786,3
787,3
788,1
789,1
790,1
791,2
792,0
793,0
794,2
795,2
796,0
797,2
798,3
799,3
800,3
801,3
802,3
803,0
804,0
805,0
806,2
807,0
808,2
809,1
810,1
811,1
812,1
813,2
814,1
815,2
816,2
817,1
818,3
819,1
820,2
821,0
822,2
823,0
824,1
825,3
826,1
827,2
828,2
829,2
830,2
831,1
832,3
833,1
834,1
835,1
836,1
837,1
838,3
839,2
840,3
841,1
842,2
843,2
844,3
845,1
846,2
847,1
848,1
849,2
850,1
851,3
852,2
853,2
854,2
855,2
856,0
857,1
858,0
859,1
860,2
861,2
862,2
863,1
864,2
865,2
866,2
867,2
868,1
869,1
870,2
871,1
872,1
873,1
874,2
875,1
876,1
877,1
878,1
879,3
880,3
881,3
882,3
883,3
884,2
885,1
886,2
887,2
888,0
889,2
890,1
891,3
892,0
893,1
894,1
895,0
896,0
897,1
898,0
899,2
900,1
901,1
902,2
903,1
904,2
905,2
906,3
907,1
908,3
909,1
910,1
911,2
912,2
913,1
914,2
915,1
916,1
917,1
918,2
919,1
920,2
921,2
922,2
923,3
924,1
925,3
926,2
927,1
928,0
929,2
930,0
931,2
932,1
933,3
934,2
935,2
936,0
937,0
938,2
939,3
940,1
941,3
942,3
943,2
944,0
945,2
946,1
947,2
948,3
949,1
950,1
951,1
952,1
953,1
954,1
955,3
956,2
957,2
958,1
959,3
960,2
961,1
962,3
963,0
964,0
965,1
966,1
967,0
968,3
969,1
970,0
971,2
972,1
973,2
974,1
975,2
976,1
977,1
978,3
979,1
980,3
981,0
982,1
983,0
984,2
985,1
986,1
987,1
988,3
989,1
990,3
991,1
992,2
993,2
994,1
995,1
996,3
997,1
998,3
999,1
1000,2
1001,0
1002,1
1003,0
1004,1
1005,2
1006,1
1007,2
1008,0
1009,1
1010,2
1011,2
1012,1
1013,1
1014,2
1015,1
1016,1
1017,1
1018,1
1019,1
1020,2
1021,1
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1028,2
1029,2
1030,2
1031,1
1032,2
1033,1
1034,1
1035,2
1036,2
1037,1
1038,2
1039,0
1040,2
1041,2
1042,2
1043,1
1044,1
1045,2
1046,3
1047,1
1048,2
1049,2
1050,3
1051,2
1052,1
1053,3
1054,3
1055,2
1056,2
1057,1
1058,1
1059,1
1060,3
1061,3
1062,1
1063,2
1064,3
1065,1
1066,3
1067,2
1068,1
1069,0
1070,0
1071,0
1072,2
1073,1
1074,2
1075,1
1076,3
1077,1
1078,1
1079,1
1080,2
1081,1
1082,2
1083,2
1084,2
1085,1
1086,2
1087,1
1088,2
1089,1
1090,3
1091,2
1092,0
1093,1
1094,1
1095,2
1096,1
1097,3
1098,1
1099,2
1100,1
1101,1
1102,1
1103,3
1104,1
1105,1
1106,1
1107,0
1108,1
1109,1
1110,2
1111,2
1112,1
1113,2
1114,1
1115,0
1116,2
1117,2
1118,1
1119,2
1120,1
1121,1
1122,1
1123,0
1124,2
1125,1
1126,3
1127,1
1128,1
1129,3
1130,1
1131,1
1132,1
1133,1
1134,1
1135,1
1136,2
1137,1
1138,1
1139,1
1140,2
1141,1
1142,2
1143,0
1144,2
1145,3
1146,2
1147,2
1148,3
1149,2
1150,2
1151,1
1152,1
1153,2
1154,3
1155,1
1156,1
1157,2
1158,1
