,0
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,2
8,2
9,3
10,1
11,1
12,1
13,1
14,1
15,1
16,2
17,0
18,1
19,2
20,2
21,1
22,2
23,1
24,2
25,1
26,0
27,1
28,1
29,1
30,2
31,1
32,0
33,1
34,0
35,1
36,1
37,1
38,1
39,3
40,0
41,0
42,1
43,0
44,1
45,1
46,1
47,1
48,1
49,1
50,2
51,3
52,0
53,3
54,4
55,1
56,1
57,1
58,1
59,1
60,2
61,1
62,3
63,1
64,1
65,2
66,3
67,3
68,3
69,0
70,1
71,1
72,1
73,1
74,1
75,3
76,1
77,0
78,3
79,1
80,1
81,1
82,3
83,1
84,0
85,1
86,1
87,1
88,2
89,1
90,3
91,2
92,3
93,1
94,1
95,2
96,1
97,2
98,1
99,0
100,1
101,1
102,1
103,1
104,1
105,3
106,1
107,4
108,1
109,1
110,1
111,1
112,1
113,2
114,4
115,3
116,0
117,1
118,1
119,1
120,3
121,1
122,0
123,3
124,0
125,1
126,1
127,1
128,1
129,2
130,1
131,4
132,1
133,3
134,1
135,2
136,1
137,3
138,1
139,1
140,1
141,1
142,1
143,1
144,3
145,1
146,3
147,2
148,0
149,3
150,2
151,1
152,1
153,1
154,1
155,2
156,1
157,1
158,0
159,2
160,2
161,3
162,1
163,1
164,1
165,1
166,1
167,0
168,2
169,3
170,1
171,3
172,1
173,1
174,2
175,0
176,1
177,1
178,3
179,1
180,1
181,1
182,4
183,1
184,2
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,2
198,1
199,0
200,1
201,3
202,1
203,1
204,1
205,1
206,1
207,0
208,3
209,1
210,1
211,2
212,3
213,1
214,2
215,2
216,3
217,1
218,1
219,1
220,1
221,1
222,3
223,3
224,1
225,3
226,1
227,2
228,2
229,3
230,1
231,3
232,1
233,1
234,1
235,1
236,1
237,0
238,3
239,0
240,2
241,1
242,2
243,1
244,2
245,3
246,0
247,1
248,0
249,2
250,1
251,1
252,0
253,1
254,1
255,1
256,1
257,1
258,1
259,0
260,1
261,2
262,1
263,1
264,1
265,3
266,1
267,2
268,2
269,2
270,1
271,1
272,1
273,1
274,1
275,1
276,3
277,1
278,3
279,1
280,1
281,1
282,3
283,1
284,1
285,3
286,3
287,2
288,1
289,1
290,1
291,2
292,1
293,1
294,1
295,1
296,1
297,2
298,1
299,1
300,1
301,1
302,0
303,3
304,3
305,1
306,3
307,1
308,1
309,2
310,3
311,1
312,1
313,1
314,1
315,1
316,3
317,3
318,1
319,1
320,2
321,1
322,1
323,3
324,1
325,1
326,1
327,2
328,1
329,2
330,2
331,1
332,1
333,1
334,1
335,1
336,2
337,1
338,0
339,3
340,3
341,1
342,1
343,1
344,1
345,1
346,3
347,1
348,3
349,1
350,1
351,3
352,2
353,1
354,3
355,2
356,1
357,1
358,1
359,2
360,2
361,0
362,1
363,2
364,1
365,1
366,1
367,1
368,2
369,0
370,1
371,1
372,1
373,1
374,1
375,1
376,2
377,2
378,1
379,1
380,3
381,1
382,1
383,1
384,1
385,1
386,1
387,2
388,1
389,2
390,2
391,1
392,1
393,1
394,1
395,2
396,1
397,2
398,1
399,0
400,1
401,1
402,1
403,2
404,1
405,2
406,2
407,1
408,1
409,1
410,2
411,1
412,0
413,1
414,3
415,1
416,3
417,1
418,3
419,1
420,1
421,1
422,3
423,2
424,1
425,2
426,1
427,1
428,1
429,3
430,3
431,2
432,2
433,0
434,1
435,3
436,1
437,1
438,2
439,1
440,1
441,1
442,1
443,1
444,3
445,3
446,3
447,1
448,2
449,1
450,1
451,1
452,3
453,1
454,1
455,1
456,1
457,1
458,2
459,2
460,3
461,1
462,1
463,3
464,1
465,2
466,1
467,3
468,1
469,1
470,1
471,3
472,1
473,3
474,3
475,3
476,1
477,1
478,1
479,1
480,1
481,1
482,3
483,1
484,2
485,1
486,1
487,1
488,0
489,1
490,1
491,1
492,1
493,1
494,1
495,0
496,1
497,1
498,1
499,2
500,1
501,0
502,1
503,2
504,1
505,1
506,1
507,2
508,1
509,1
510,1
511,2
512,2
513,3
514,2
515,1
516,1
517,1
518,1
519,1
520,2
521,1
522,3
523,2
524,1
525,1
526,3
527,1
528,1
529,2
530,1
531,1
532,2
533,3
534,1
535,3
536,1
537,1
538,1
539,1
540,1
541,3
542,1
543,0
544,1
545,1
546,1
547,2
548,1
549,2
550,1
551,3
552,1
553,1
554,3
555,2
556,1
557,3
558,2
559,1
560,2
561,2
562,3
563,1
564,2
565,1
566,1
567,1
568,0
569,2
570,2
571,1
572,0
573,1
574,1
575,3
576,2
577,1
578,1
579,1
580,1
581,1
582,2
583,3
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,3
592,1
593,1
594,2
595,3
596,1
597,2
598,1
599,1
600,1
601,1
602,2
603,2
604,0
605,2
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,3
615,1
616,2
617,2
618,1
619,1
620,1
621,1
622,2
623,2
624,1
625,1
626,1
627,1
628,1
629,1
630,2
631,2
632,1
633,2
634,1
635,1
636,1
637,1
638,1
639,3
640,1
641,3
642,1
643,1
644,3
645,2
646,3
647,1
648,1
649,1
650,0
651,1
652,2
653,3
654,1
655,1
656,1
657,1
658,1
659,3
660,1
661,1
662,1
663,1
664,1
665,2
666,1
667,0
668,1
669,3
670,2
671,0
672,1
673,3
674,0
675,0
676,0
677,0
678,4
679,0
680,2
681,0
682,3
683,2
684,3
685,3
686,1
687,0
688,2
689,1
690,1
691,1
692,1
693,1
694,1
695,2
696,1
697,1
698,1
699,0
700,1
701,1
702,1
703,1
704,1
705,2
706,1
707,1
708,1
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,3
722,0
723,0
724,0
725,3
726,0
727,4
728,4
729,3
730,0
731,0
732,0
733,0
734,0
735,0
736,1
737,3
738,4
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,4
748,1
749,2
750,2
751,1
752,2
753,1
754,0
755,4
756,0
757,0
758,0
759,0
760,0
761,3
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,4
774,4
775,4
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,4
786,0
787,1
788,1
789,2
790,1
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,2
801,1
802,2
803,2
804,1
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
