cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7.205882353,-63.42685009,-7.990990991,-31.55031705,15.62650248,-0.705619794,-8.685707071,0.629302779,-28.47571631,-13.77501113,-12.61462451,-10.61549826,-77.40307692,-32.13464052,47.07980596,-28.40253561,-46.27669031,6.897284579,4.90688098,-9.398012567,11.64545455,-40.00452977,-13.2093991,24.66325678,4.571949802,-8.061277224,1.933559735,35.38427223,-5.626401163,4.823089431,-36.11245994,-18.9710303,51.40681818,-39.5608547,-5.914285714,-10.17803922,-37.16496894,-16.13802467,35.89728938,-19.28796093
-23.76445378,11.15568417,-4.858918919,-10.36174562,-25.23170878,-18.17074848,2.922606061,-5.358117991,16.75691971,3.736393714,5.176173913,-6.006143902,-55.82088462,15.43148459,-40.01996922,19.48202279,5.05934279,-12.97639882,5.484893992,5.502968971,-4.072272727,13.35439172,11.72278183,-1.789384981,-4.314459679,-2.273045404,0.360923023,-17.65735983,-17.24452205,3.041926932,18.95327111,-17.54254545,-33.41378788,3.814735043,-0.758020478,-7.422817927,4.84668323,17.54578056,-21.85271795,-23.80911355
9.619411765,-18.95727599,-11.5027027,-17.35959468,-7.725241623,-12.93240582,-2.294808081,-2.096392004,-1.852450583,-8.966926894,-4.207256917,-6.874353292,-54.78788462,-0.752987862,-1.01641084,-6.717219373,-16.49283215,-9.47461234,2.058622273,-5.529693581,-11.31568182,-11.11823986,-2.862784484,9.507826747,-9.066380045,-4.720339609,1.093676419,-1.810081802,-8.295281585,-1.495365648,-5.426310803,-15.97001212,-2.654090909,-7.840598291,-4.589614822,-4.531554622,-8.051602484,-2.941342047,2.748161172,-17.10238339
-12.7492437,-7.398722328,-14.8990991,-7.750990924,-7.825546779,-5.013017531,-0.174767677,0.730151146,-1.309962655,-3.537147038,0.001438735,-2.504021592,-43.06761538,-1.488048553,-11.06451121,2.275447293,-0.401427896,-4.170093282,1.691370838,-4.00636643,-5.16,0.167377049,0.241017983,2.787083208,-6.476933922,4.128253968,2.744583769,-5.15454148,-6.77280413,-3.831961717,7.563609168,-11.14831515,-9.31520202,-3.642205128,-9.741706485,-3.755364146,-4.431130435,-1.439690722,-9.575443223,-10.55092552
0.449915966,-10.42429264,-1.505585586,-17.63257491,-10.33806407,-6.936574661,-11.35148485,-6.309127255,-3.901460305,-11.91762041,0.651067194,-6.61867036,-30.51207692,1.932698413,6.394221479,2.617612536,-3.232964539,0.551410303,-7.866319173,-1.566614443,-12.87954545,1.687566868,-13.53840935,-2.533745078,-8.802842978,-15.29980066,-5.384296412,2.651569465,-6.734641311,-3.122104353,2.741879977,-11.45511515,-3.86969697,-3.780871795,-0.50392979,1.180257703,1.011850932,-8.698348675,-2.233113553,-11.98557753
0.205882353,-14.3644845,-9.193693694,-1.205366157,1.584422313,8.219118488,1.469313131,-6.462642613,-0.380602666,-2.000080168,0.807667984,-2.931500817,-24.28726923,-0.935070028,-2.984224824,-0.104962963,-10.69915366,0.028682149,-7.443794872,-8.317063692,-12.06590909,9.673554789,-5.435033636,2.601616598,-0.800438454,-3.155762274,-0.63095263,-5.136762378,-2.222879656,-3.703865391,-2.072420425,-3.130448485,6.246767677,-1.68174359,-4.462584105,-8.078218487,0.940968944,-6.167588365,-3.080263736,-5.738554335
6.299915966,-23.83888678,-5.145585586,-16.24240333,-1.730339989,-7.395686933,-6.291323232,2.436684544,-4.843673299,-7.660574537,-1.542086957,4.006487677,-15.21703846,2.906498599,2.342217464,-8.171578348,-5.182453901,-5.912619371,-0.104468427,-1.243695851,-6.030909091,1.49377912,-3.208817722,-1.090487098,-7.641718181,1.244119601,2.609010798,-5.259833085,-4.725265353,1.634803334,-8.793637995,-4.250024242,-0.119040404,1.292222222,-8.642964408,-6.339235294,1.960795031,-4.591800442,0.973274725,-5.635374847
-17.54605042,-3.369588868,1.887387387,-3.274436156,-2.012274935,10.01731568,-8.387434343,3.67905412,-7.434340352,0.55835083,-5.501644269,0.514259535,-17.58534615,-5.303202614,-3.73096554,5.04408547,-1.704420804,4.04268608,-6.426245695,-0.915031971,9.807727273,9.466678171,-2.89495291,0.367674442,0.401329305,-2.334957549,-2.634529781,3.533268422,-5.825507259,5.538634558,-4.642845566,-6.344230303,2.829040404,-4.624871795,3.63941492,-13.1142605,-7.266956522,0.143530928,-0.779369963,0.359721612
1.447478992,-3.483917352,5.91027027,-6.379884372,-5.221965363,-8.165689419,-7.376717172,-6.251438323,-5.895065997,-5.554466501,-4.909786561,-2.828438099,-14.83361538,1.35697479,7.604995651,-1.16622792,-8.453626478,1.394807208,-2.586354382,1.104929831,-6.313409091,-0.385987921,-3.518061056,-7.479182907,-1.242734526,-11.37681801,-3.886680599,5.938379202,-8.703504374,4.526253782,-11.01684198,-4.449684848,-0.890454545,0.646803419,4.976626036,-11.06504202,1.37242236,5.29783137,3.143238095,0.20206105
-1.986302521,-5.14980603,-3.679279279,-0.530560736,-0.429053623,7.53077583,1.698676768,3.17476353,-3.924339064,-0.590626074,-2.043130435,1.693317707,-7.108115385,-0.829785247,-3.16522449,-9.158148148,-7.738033097,-1.493748166,7.053262916,4.798524096,4.422727273,0.752191544,6.384131436,2.46864544,-3.010713456,3.708246585,2.435910832,-16.53360755,-0.468312291,2.188783369,-6.725679037,-2.123781818,7.830707071,3.473931624,0.913339834,1.983663866,0.94626087,4.064502946,-3.899194139,6.104630037
-3.594369748,-1.289580434,13.5218018,-10.88386423,-3.532881323,-2.751398732,-11.02015152,5.01534861,-3.195452321,-7.896517147,-3.90744664,-0.674886,-11.83096154,-3.948506069,-6.251241218,-4.877407407,-3.636813239,-7.592535223,-1.382998852,-1.782166247,4.910454545,-11.70043141,3.244580546,-4.163915173,6.772502905,1.447515688,-2.319801463,1.207314456,-1.072323248,-2.24734383,-4.185792328,-0.050848485,-4.728282828,-3.155213675,1.058000975,9.076170868,3.630484472,3.499136598,2.946168498,-0.688595849
-20.28705882,2.658182585,-10.24756757,0.894959592,-6.527060786,-0.952389656,6.423424242,-7.291370063,-4.048486253,-0.461336133,-1.168395257,-9.625534484,-13.13530769,-5.435238095,-6.453070592,1.435407407,2.107635934,0.021331414,-0.785357826,-10.81015639,-5.018636364,-12.3095082,-0.36705918,-2.736025264,-7.981925788,5.122628276,-1.21380007,1.847694651,-3.462185499,-5.435030565,3.149003165,1.423030303,0.844191919,-2.337709402,4.966611409,-6.042358543,-9.716049689,0.126956922,-4.284249084,3.366559219
-8.791512605,-7.712291798,-4.559279279,0.871731941,-6.777667664,-0.127009822,3.350323232,-7.299580692,-0.119907926,-6.626858815,5.212853755,-7.899477236,-2.539230769,-5.692885154,1.927668116,-1.633709402,0.656799054,-4.18928004,4.178300804,2.155518034,-4.618181818,-7.69106126,1.181821834,-5.110378765,3.84945232,-2.010985604,-5.276861721,-3.1882974,-2.768368879,-9.830154986,0.229719999,-1.353951515,0.278131313,-1.542290598,-8.899483179,1.951756303,4.128819876,-1.952107879,-4.859897436,1.493147741
5.984789916,-16.7299494,-16.51783784,-7.098432177,-5.514255998,2.64947905,-0.662616162,-5.707547538,3.337277703,-6.685112299,1.605375494,-1.899116415,-7.976,-5.117012138,-2.187436601,1.223846154,-2.014671395,-8.057954439,-1.865103712,-4.353862762,-3.984545455,-7.554572908,-0.097630138,6.623085687,0.475053064,-1.598493909,-2.846957506,-9.205259811,1.052896113,-8.704378306,3.548683855,-4.079115152,-0.11030303,0.534871795,-5.300633837,8.913655462,-2.998409938,-4.638805228,-3.112175824,-8.641069597
-12.03890756,0.875762176,-10.65513514,2.709859505,-5.563905215,-0.044773095,-0.03310101,-1.086426134,-2.928219046,-1.352637272,-3.962055336,1.5761645,-17.51019231,-10.68102708,-8.123206424,4.896774929,-4.226368794,-3.273444238,-5.798467662,-2.916277576,-4.564090909,-4.298231234,0.376180857,-3.621794487,2.630340073,1.4703433,1.063617207,1.319111111,-2.904903057,-7.527362355,-6.241853771,-1.340860606,-5.72540404,2.554188034,-4.017971721,-19.31059664,-10.15018634,-2.056115611,3.383765568,-3.368761905
9.757394958,-1.084813409,-3.624324324,6.864645033,-3.2384752,0.29741017,4.991555556,-2.767576792,-0.533201983,3.935638481,0.941185771,-0.833684211,-8.179269231,-5.862455649,5.444034794,7.450034188,7.020241135,7.940609516,-6.620774589,-0.391424696,-5.350681818,-0.387247627,-3.716611775,-1.285439028,-7.669633589,-7.185337763,-2.263143504,0.975466799,-4.14348228,1.656564783,-2.400624105,-13.53601212,-1.414545455,-0.52442735,-7.999824476,0.921910364,-7.91468323,-2.118591679,-2.933333333,0.630798535
8.187058824,5.455880245,0.023603604,-0.188454557,-0.55450915,0.901477061,-3.227222222,5.278537299,-2.208202305,-0.922102819,0.590245059,5.564862561,-8.634692308,-3.541260504,-5.153398461,1.445339031,-0.054316785,4.113113184,0.938176808,10.66067595,1.182727273,-1.447256255,-3.860107256,-3.634123643,3.517638857,-7.265795496,-4.010102752,-4.339206491,-4.788831049,-5.767671504,-4.162969742,0.259175758,1.11469697,0.461538462,-2.176606533,-2.97594958,-0.514757764,-1.856997423,1.052278388,6.488923077
7.358067227,-0.418471432,-5.046306306,1.314032078,4.2412324,-10.22748974,-0.068020202,-2.5149098,-0.389309768,2.150738054,-7.161343874,5.060417643,-8.613,2.91038282,-5.015808632,-5.866472934,-1.894283688,5.237391425,-1.311086108,2.908064329,-5.861136364,0.002381363,0.006371681,5.582217425,-7.020660005,3.41696567,6.19003309,1.771937076,-1.005264451,-1.309174848,-1.386381761,2.449139394,4.732525253,3.159076923,-0.543013164,3.623882353,0.413639752,-1.324497423,2.236102564,-3.767516484
-1.972268908,7.666736243,15.11531532,-0.799735173,3.81111122,2.562078826,-6.042545455,4.614578255,2.515840577,6.969541261,5.233328063,-0.937310889,-3.527653846,-5.123127918,-10.90736032,-2.461692308,1.173966903,-2.517554184,-1.028705702,9.412786005,0.236590909,13.68610871,-2.518177029,-3.164502808,-0.17785421,2.26786268,-0.113361198,3.160914059,-0.944607945,3.415932901,-7.909001552,-1.187127273,0.511414141,1.209059829,3.268600683,-1.536946779,-1.285614907,-6.33308542,1.43592674,5.412498168
25.60285714,-8.868612692,8.844504505,-3.492584856,4.734582741,-10.22370509,1.595989899,-7.401589469,1.151403644,1.406041865,7.908252964,-0.119406208,-0.01,7.473370682,9.643668116,-9.247874644,-0.097030733,1.082270878,0.312266361,-2.652245689,1.336818182,-1.437955134,-1.438056508,-0.682344946,-3.520037183,0.218914729,-1.430759317,1.563320417,0.432018893,0.652473397,4.684015562,-6.503018182,-8.317929293,-7.594410256,4.338176499,3.344392157,4.689192547,-2.681021723,-0.877714286,-4.581010989
-17.63857143,-0.67812355,-2.288108108,-5.237038419,5.738990335,-1.904960836,-1.45269697,-3.546250609,2.665525079,-5.727864732,-2.762339921,2.81700689,-1.590692308,-4.866526611,3.37413717,-4.83037037,-8.006222222,-12.42172004,0.561885955,5.553021286,-1.105681818,-2.867031924,4.280591234,4.30867662,1.594743202,7.011059432,-1.225527691,-1.845322073,-0.728841419,-3.222444787,-0.924097809,7.828121212,-8.82030303,0.989435897,-3.39396392,-11.16277311,2.320621118,-3.462463181,-1.205919414,-6.281474969
2.028991597,-5.546053131,-2.474774775,2.662572423,6.478076829,0.288261843,-1.83359596,-3.904046806,6.829623978,-3.169936375,-5.569280632,2.763450529,2.207423077,2.688860878,5.653492138,-1.882381766,-6.037016548,-3.895344756,1.813273632,-8.386268442,-5.043863636,9.006229508,2.850096454,4.75342008,1.110730498,2.678715393,0.566812957,4.694424905,-1.20959036,25.06940949,0.449889733,-9.41049697,5.637070707,6.405333333,-3.034851292,3.674733894,-0.587900621,0.244007732,-2.593260073,-2.812576313
1.53,-8.159862956,8.601981982,-7.574309337,3.16055929,-1.546696506,0.744606061,-1.538322769,-2.385976434,-1.063203538,6.257407115,0.596519639,-4.324692308,4.862614379,5.888050853,6.908387464,1.323886525,-8.436766961,3.596192882,-1.452907797,-0.6825,-4.208024159,0.005825169,-5.028895685,7.800740569,-1.456891842,-6.451041449,-0.383560192,1.277734016,25.85306453,-0.327929526,-5.118036364,-3.701969697,0.958940171,-0.302096538,-7.356593838,-1.402236025,0.233293446,1.044542125,-1.016
4.129327731,-0.135515497,-8.953153153,1.275471839,-2.833343473,-3.1215442,7.604383838,-3.154383228,1.091592299,-1.25008144,-6.701660079,-7.279866468,-4.013384615,6.313426704,5.243578454,-0.78648433,-4.720425532,0.756980652,4.194666667,-18.48630221,1.748409091,-2.095513374,0.8777427,3.371424117,1.099510419,-6.273517903,4.713780913,-5.114823646,-5.776025791,14.55791788,0.426201141,5.162921212,8.060454545,0.768410256,-0.345148708,-4.49680112,-3.976546584,2.630314801,1.494945055,-5.598026862
-18.63386555,1.734478178,11.0381982,-0.776633097,-4.005614483,2.636712669,2.612343434,5.08458313,-6.062307643,-6.84653369,-6.779920949,-4.001683358,-4.092423077,1.322689076,-1.247217129,8.992404558,-2.486222222,-6.648921859,1.440661309,7.153881584,-9.352272727,-3.189551337,1.906203028,-0.667793168,3.779192811,-1.606585456,6.270820272,5.392808743,-7.630214853,10.62988206,-5.241833612,-1.854678788,-1.761212121,6.381709402,0.120682594,2.117795518,-5.965565217,3.061297865,1.138666667,-0.170148962
10.61966387,4.710044276,1.46018018,-5.329701604,-1.939551587,-7.888683327,-3.292939394,-2.263520234,0.371844698,-2.32813514,1.680173913,0.063638042,3.041384615,4.612212885,-1.005600535,-4.782358974,6.086245863,1.131244775,2.776090318,-6.507528441,-1.145,1.86244176,-1.571147032,-1.579973217,0.985109613,-1.833488372,3.950917799,-5.369120715,1.99348972,10.5750812,-0.398246215,2.108751515,7.296767677,6.453128205,0.206903949,9.178470588,-1.914136646,5.116150589,-2.528263736,2.060810745
-9.380504202,2.64104786,3.237657658,-12.23499689,-6.848719031,-5.915234365,-2.652656566,0.220419308,-1.863850364,-3.107813196,3.439288538,-6.174381703,-3.451769231,1.395042017,0.797565741,-0.979236467,-2.928817967,2.18492208,-0.695392269,2.989469372,-0.925681818,-1.406531493,-2.814354096,5.042151466,-5.073592068,-0.329184201,1.802046325,-5.213596291,0.984059879,-12.04920161,1.209790554,-2.411806061,1.135858586,-5.783931624,-3.603695758,3.060117647,0.621689441,-0.464066642,3.686212454,-4.357807082
2.343781513,10.27106262,-5.452432432,1.93974885,3.592513369,3.918765386,2.856505051,4.188239883,3.094368682,1.531460202,-4.356806324,-2.15703246,7.118653846,-6.716844071,-2.773233857,-7.904911681,-9.294122931,0.068084258,-2.312009185,-8.543095192,1.991818182,1.567238999,-0.469793637,-0.552040935,-4.125309474,-6.27379845,3.844118774,-3.039635039,-2.792427406,-18.21085067,-0.923009253,3.013915152,2.931969697,-1.657094017,0.555680156,1.666714286,-0.216198758,4.849278351,-0.172864469,-2.600063492
5.497310924,-6.678462998,1.701081081,3.828877285,6.727682873,-3.607663807,1.000858586,0.12814237,-4.041450647,-2.755271362,0.179588933,10.65935081,-0.430192308,3.671176471,5.222086316,2.611339031,-4.907078014,3.345969496,-4.278479908,13.6363429,-5.669090909,-3.654788611,2.711656023,-1.001400732,-9.695020528,0.957873754,-4.980566005,-0.315530386,2.665514023,-9.830002264,3.515199065,-1.859381818,-11.94611111,1.256529915,-8.233447099,-2.135756303,2.157714286,2.987544183,-5.573216117,4.581284493
-5.589495798,2.85534261,-12.10954955,-0.387697377,4.071959967,-6.774722119,-1.492919192,-9.125733788,2.80513296,1.014395877,-2.654213439,-5.009165424,-5.374461538,-12.04305322,-5.076274339,-1.86751567,4.971073286,0.172663105,-5.423063146,-3.04728541,9.806363636,4.802752373,8.342288757,-1.156391837,-2.792794175,-1.27379845,-5.36510101,1.690519622,1.866649608,-12.68676752,-4.347778338,9.598484848,1.816313131,-1.442358974,-2.399141882,1.653582633,7.608397516,-2.828987482,1.913611722,3.335677656
-0.854789916,-10.41368754,1.664504505,-1.834320527,-3.670635333,-1.161823946,2.643515152,-0.224046806,-4.207233275,1.910346122,-4.377596838,-6.381420555,-9.097192308,-4.944220355,-1.965821345,4.879116809,-4.541333333,2.981840729,-2.594910065,-1.586642677,2.147727273,3.049680759,-1.531169771,0.238568088,-6.657070261,-6.914920635,-1.390642633,7.957271071,-6.071521553,-6.10202861,3.389094281,-7.33990303,-2.884393939,-3.091350427,3.936177474,-2.594809524,3.743726708,-4.807367452,-1.175765568,-1.621948718
