cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40
1077.161345,827.5884883,956.6684685,975.3123399,718.1471226,672.3795599,880.6759091,813.0628474,845.4720849,675.6056372,614.8118577,753.7064635,918.2811538,514.7791783,709.1473603,732.8047578,920.1139007,769.3880034,486.9435668,624.3742353,564.7181818,735.6183348,528.1477706,747.4446883,647.5230769,503.5852344,390.7842389,766.9244809,653.3081725,773.9583596,559.1831314,726.5011515,745.6689394,536.9517949,537.4885422,941.3758543,616.8236025,587.5808542,430.8313553,708.3902076
1084.367227,764.1616382,948.6774775,943.7620229,733.7736251,671.6739401,871.990202,813.6921502,816.9963686,661.8306261,602.1972332,743.0909653,840.8780769,482.6445378,756.2271663,704.4022222,873.8372104,776.285288,491.8504478,614.9762228,576.3636364,695.613805,514.9383715,772.1079451,652.0950267,495.5239572,392.7177987,802.3087531,647.6817713,778.781449,523.0706715,707.5301212,797.0757576,497.3909402,531.5742565,931.1978151,579.6586335,571.4428295,466.7286447,689.1022466
1051.552101,758.0538899,921.0279279,934.1845704,722.0454987,652.173107,878.9420202,822.590785,845.7095036,686.6458007,601.2255336,744.9057604,760.9457692,483.7957516,696.5713014,729.2142735,885.9417494,751.5682287,499.6829851,598.4486838,585.3784091,691.9066437,536.3870876,777.9683836,657.8875901,517.4610557,395.2346743,782.1007418,628.5267619,797.4671627,537.6050598,693.5971515,769.0378788,497.7571795,498.2780107,915.8212045,577.9040994,603.4482603,437.9261538,661.4192186
1035.633613,754.6074847,938.6585586,884.9713229,677.4661041,608.9227527,870.4569192,811.6261336,824.4342283,649.3613158,614.763083,727.8044747,725.9328846,524.8858077,710.675082,715.005641,872.420922,769.6298281,525.919602,645.4070086,568.5988636,693.2723037,529.9071081,773.3743079,614.6384383,483.1619786,402.9897423,788.2019242,596.7092141,784.2623464,539.9543774,663.613697,759.3909091,496.4959829,542.2668454,901.8747899,564.3099379,593.3571797,445.3885714,646.0639072
1054.29958,772.1751107,954.0603604,928.7711302,691.277231,662.3665983,872.4989899,780.6982448,836.154256,654.3917192,603.8693281,715.9164429,679.2480769,484.2748366,708.4150753,737.9943305,842.1689835,749.6730977,482.2801072,619.1898082,566.3977273,728.4298965,523.9254287,780.6974756,666.7587032,466.522333,383.6671543,783.7210664,625.9603267,774.647562,550.3064729,658.6957576,747.1363636,477.4324786,544.4735251,928.6053221,583.8303106,589.1139267,443.5049084,621.4900855
1125.258403,732.8021084,899.154955,888.5143665,679.5209145,607.7175308,869.2018687,802.5808874,836.2098319,630.7710027,593.7755731,719.3346971,644.3417308,511.014239,704.0653061,699.218661,837.64974,722.0149417,497.2366781,596.7257674,508.1397727,680.0271355,513.8338481,794.983822,602.1911767,479.9835364,396.252621,757.8740719,611.8317646,766.4815313,532.0515774,646.6510909,732.3984848,497.7488034,514.5404681,918.7180812,576.5655901,572.874144,444.5721612,622.8782906
1020.621008,727.1680266,874.181982,905.0070683,694.6458912,646.6088524,871.1163636,817.3429059,810.4465553,644.1448909,602.2044269,730.5708573,625.54,475.2042951,700.9046102,715.7794587,871.8300709,755.4348216,500.307302,594.9443906,550.5636364,696.4506903,516.1434614,786.0433611,619.7103571,516.165227,406.4407175,776.5360457,613.8177507,759.6216404,560.8887173,651.7885455,750.4997475,479.1799145,482.865724,912.4209944,557.5029814,564.2443759,418.8514286,636.347619
1053.801681,705.9324267,913.5,846.0216959,670.3551783,617.4902337,822.184596,791.0451487,826.202202,627.0576987,604.4808696,711.8124086,608.3853846,493.4592437,728.5424088,742.3023362,869.7769267,754.3252803,460.3513892,590.6156116,520.9806818,700.344478,468.6950408,765.2996582,613.8733752,440.9620524,368.3131923,795.3585892,594.8535553,781.8566409,551.3144597,636.3215758,749.6893939,478.8528205,495.7583618,921.722493,582.963354,559.9565169,426.7605861,601.4913309
1036.663025,682.7850622,892.6900901,878.9444921,685.3882157,650.0183451,877.8034848,779.3129205,822.531215,639.3609149,618.8014229,713.1469707,604.4965385,520.2104575,695.7539578,714.4808262,818.9251537,769.7732389,488.7006276,603.8216901,508.2693182,741.6400777,502.7319399,786.3823909,610.636246,467.3831672,399.8349791,762.5181123,585.5948158,765.7430195,529.5922753,647.9614545,790.6247475,488.087265,519.9539249,861.4836975,569.0147826,562.5192378,429.9872527,617.3711355
1085.79916,652.9806768,928.3324324,847.5591135,682.6255311,625.3881636,841.0423737,792.8816675,811.9358895,616.0888465,596.1588933,735.9488813,603.1628846,498.8073296,720.1261626,697.1364387,816.2567139,720.1100008,481.757765,612.9713289,536.2431818,735.8987921,507.8813401,775.2450401,628.5501123,472.742931,396.7122083,757.421901,602.3339999,782.8215787,506.3382829,637.4456364,746.5411616,483.8935897,501.2587031,896.9091457,593.6342857,566.1549245,448.3712821,593.3132112
1037.528151,715.954164,908.5918919,872.1421858,669.4595398,657.8041092,827.264697,820.976158,799.0381302,633.5627569,566.2673518,721.9059947,556.415,484.498226,685.4104784,724.4390883,829.1276359,742.2283721,465.1054497,592.1506076,557.1784091,727.3605263,499.3590836,796.8221942,604.1978232,468.3087486,383.0799721,775.540414,582.7042283,794.1747041,508.8373496,614.9299394,746.5436869,474.6244444,532.7375427,853.1467787,540.2308075,573.5917986,440.6753114,624.6768987
1027.858403,709.7484398,903.7333333,873.1076464,668.5360644,605.7804053,834.2327778,786.0857143,780.9712253,616.3725584,577.6554941,716.4286668,551.3719231,481.989169,738.9295885,709.9483191,829.5619385,762.4088576,487.37553,600.4690398,518.9965909,694.5207506,498.5531561,748.6474466,613.4966845,459.281137,387.0073145,806.2279417,570.3002288,782.2529093,505.8045074,629.5401212,746.0474747,482.4139316,507.7488542,857.0957843,564.3650932,590.7335328,434.567619,637.3579243
1043.870168,680.1833966,895.1036036,843.3688922,668.2099102,655.1441129,830.6779798,806.9189664,806.5805067,624.1045683,594.2652174,720.2789971,572.8448077,489.3103175,712.7162864,696.5115954,831.0867612,746.8565394,495.6177038,614.6082321,543.0943182,704.1054357,500.615698,777.6428854,598.8198079,459.5032853,380.4927464,712.6905514,592.5119939,792.8005578,517.6860645,625.7026667,788.8429293,496.2224786,500.3250609,931.6408123,587.6946584,580.2790317,407.2646154,632.0144811
1018.691176,676.33716,960.2990991,824.525171,667.7238091,636.2613515,822.7027273,804.3896636,806.5539534,599.8783292,599.2641897,709.7725407,545.3417308,500.4679272,664.4977518,690.0937892,800.7410875,731.8105627,481.7856334,594.9108589,532.8215909,683.1379206,518.9548426,765.5628151,644.4987606,474.6207457,388.2359718,768.5546846,580.2331996,754.5063003,508.6633136,647.7072121,766.9833333,472.3111966,525.2439298,906.8645518,587.167205,580.0149208,444.7180952,613.9281563
984.3638655,666.2715897,877.0945946,852.0339115,649.9902272,620.6262153,873.1594949,756.4248172,791.6934582,613.7821658,590.316917,687.8212089,537.4863462,471.6311391,687.8608096,704.3134758,826.7948936,720.2166579,477.8309759,558.920547,511.15,674.3512511,506.0460442,761.5649138,588.6404834,498.3560724,390.6432079,766.6603742,585.0230724,755.6464259,522.0832987,644.5607879,750.7621212,472.2050427,526.0917601,866.6973529,545.0540373,566.7897091,426.9500366,610.1460073
993.5705882,677.392705,885.7954955,876.5008455,635.5712015,657.1690601,844.0163131,784.4782545,798.4385906,600.4284628,592.3316206,682.4086086,543.7188462,456.0338002,695.048819,716.2705413,832.4116312,721.2819719,485.9969537,602.9281977,534.0875,688.90522,505.2681928,771.2703004,623.4450848,458.2538206,356.6956635,759.598927,568.8623839,745.0239292,509.9859496,608.1601818,747.9343434,466.9129915,488.2401268,862.9055602,560.8749068,563.8312592,416.3758242,632.1426374
1057.782353,626.0986928,821.1441441,837.6154855,640.9647844,619.0278006,830.919697,757.5479766,797.6576138,582.9469969,585.6823715,706.9330847,511.4919231,456.4041083,727.9924055,716.0675499,819.4885816,722.1190854,478.0500115,578.699726,499.0738636,656.7478861,498.0650054,781.762875,615.8719498,451.2886674,372.772527,760.2016427,575.5647094,738.7310178,523.5479267,609.1445455,745.4959596,485.0882906,481.245685,901.6640616,549.3730435,567.5395066,419.0067399,594.1525763
983.6756303,684.5622075,841.8279279,856.9181897,640.3903841,654.9202474,830.5124747,801.4868357,791.9394115,617.3413819,574.4549407,728.1598196,485.2938462,435.9051821,672.1002543,720.9954701,809.9549173,730.4893182,466.6253655,600.0268442,520.2738636,682.6142796,502.4966023,759.533913,611.9715083,466.8550018,385.8108325,719.286107,577.9874786,755.163746,486.4767956,618.9983636,760.2159091,508.9934188,480.2352023,835.0878291,536.9437267,569.9984536,424.1834432,615.1706716
1067.478151,670.913093,942.1774775,858.8483961,651.5314331,637.7484023,847.6605051,790.5517796,803.8879435,619.5565216,603.9701186,705.6041196,504.4453846,471.1556489,691.7179257,727.3439601,835.8422931,771.5136103,448.6817604,592.9537354,506.0681818,681.2016825,500.3717837,759.1356199,606.1505926,438.6940568,376.9202543,773.4320185,559.5157882,762.7891242,496.6601931,580.0271515,759.9106061,469.6890598,485.2448074,911.4741036,547.5937888,569.4219624,430.0514286,617.082149
1025.29916,693.5509909,877.2126126,851.0916387,647.2176814,625.1336006,857.0233838,782.8175037,780.6524467,609.1716517,593.2681423,715.6455217,494.3128846,453.9248366,662.0938173,711.5401709,826.5233097,740.7822238,482.5218599,612.2239267,517.0636364,667.1149698,486.7455079,743.3942955,606.2286777,462.0270949,370.5926942,744.9643418,561.0789172,726.8080683,501.26845,645.8566667,756.3356061,474.512735,515.2087275,851.817605,542.4802484,557.504722,432.2114286,642.5906227
