cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40
-40.7832,-17.9332,-15.8752,-15.0158,-12.0858,-23.8134,-9.911,-6.8142,-12.5294,-15.3984,-4.6792,-22.1048,-54.8192,-6.6418,-18.5666,-3.6116,-30.9924,-16.7416,-12.1638,-8.523,-19.437,-6.15,-4.9982,11.716,-17.4548,-3.0094,-0.3468,0.8452,-17.9886,-4.0828,-8.9178,-22.2522,-27.2254,-11.9618,-13.397,-17.459,-18.4142,-8.7506,-3.6458,-34.1022
-22.2278,-10.8666,-13.3876,-12.9932,-12.9054,-7.1528,-6.6174,-5.7344,-1.4014,-5.0714,-4.6622,-8.6214,-47.4962,1.614,-13.0392,-3.4694,-8.3866,-7.027,6.5274,-8.7792,-10.132,-10.6856,-4.5982,-0.8786,-9.488,-4.1562,-0.0024,-9.0548,-11.0734,-7.545,6.3464,-15.0202,-16.3138,-5.969,-7.2572,-7.9378,-5.2914,-3.3302,-13.3832,-11.9524
-9.9388,-11.8804,0.9124,-15.0764,-12.5214,-11.1168,-10.927,-2.4914,-4.5188,-12.3518,-1.0672,-10.9786,-29.529,-1.1222,-6.1392,4.7058,-4.4192,-3.4292,-10.8114,-2.0376,-16.901,5.4882,-13.666,0.1606,-11.4784,-16.8252,-9.8558,5.6468,-11.6904,-4.4928,-0.8214,-15.4144,-18.271,-6.9952,-4.2656,-2.6196,-3.18,-9.9024,-2.9478,-17.9952
-8.5668,-17.6222,-11.6936,-2.2,-0.6732,7.6022,-2.1398,-10.7514,-0.618,-2.07,-1.4208,-3.9666,-27.3886,1.7,-1.1508,-4.5134,-13.2442,-3.05,-7.3772,-9.9938,-15.868,2.4928,-8.9412,-1.5644,-4.7714,-8.3468,1.962,-8.5308,-3.9152,-6.0146,-2.5178,-3.8696,5.8836,1.5976,-1.8858,-14.5902,1.7314,-5.6012,-3.8438,-5.7286
3.9722,-22.536,-7.4314,-18.5034,-1.9322,-8.9012,-8.154,1.8344,-4.2602,-10.216,-3.8636,0.3952,-15.7654,0.9972,1.0058,-9.0788,-7.3826,-8.7168,-1.182,-2.5978,-8,1.2262,-3.0018,-0.4482,-5.181,0.122,2.7696,-7.9032,-7.0914,0.3012,-10.4018,-6.8812,1.4278,1.9928,-7.9714,-6.3048,-0.9686,-5.841,0.275,-6.9428
5.261,-6.6556,-1.7874,-10.2134,-0.5106,12.9078,-2.6254,5.84,1.6332,3.0306,-6.2914,9.6286,-20.3616,1.6862,8.2686,-3.3788,12.4846,7.7,7.041,-0.1332,12.3402,-2.5238,-6.725,-1.716,7.1048,-9.2218,-5.4886,-1.5968,-4.1658,4.195,-1.4608,-5.9884,10.352,-6.612,11.617,-6.2034,-0.563,2.3976,1.7542,9.3738
10.7722,-11.2722,7.0624,-14.654,-10.216,-9.3462,-8.0174,-0.9314,-7.5806,-5.6746,-5.6878,-2.8334,-12.746,-2.0278,0.0626,-2.021,-3.3902,-2.15,-6.9228,-1.3312,-5.6948,10.1,1.043,-6.9946,-0.1072,-5.0532,-3.5646,3.6418,-11.361,2.7316,-12.6804,-7.1132,2.9848,0.5834,1.6686,-7.1704,-1.6656,3.5108,4.4042,-2.688
-9.3612,-3.0362,-14.5312,-1.0246,1.8536,7.773,0.1462,2.4114,-5.221,-1.0364,-3.7414,-0.1404,-10.9346,-5.5112,-2.6962,-11.0712,-6.0308,-3.9042,9.116,1.6334,2.7422,-4.7024,5.2858,1.4358,-1.7548,4.2094,4.967,-16.2644,-1.3428,1.8732,-5.8446,-3.4116,9.714,5.5928,-0.6658,-0.8952,-1.183,3.0988,-6.6522,3.1644
-1.5888,-10.9834,13.4436,-16.128,-4.7714,-5.3416,-10.2856,3.8914,-10.0528,-8.8656,-4.1482,-4.4406,-10.125,-13.5528,-24.0746,2.4442,-6.4058,-6.0272,-11.6386,-5.6604,3.7422,-1.8524,7.009,-2.5588,4.1142,5.3624,-6.3368,-0.4774,-3.1904,-3.6134,-7.8536,-5.0232,-6.8,-9.3262,-7.1314,9.918,-0.3,-0.8674,-1.1522,-2.919
-38.1166,4.8916,-32.3,2.7192,-6.8,-5.8718,1.7872,-8.4858,-9.994,-3.6802,-3.0932,-18.9618,-13.6326,-7.4556,-9.2824,1.2,-11.5,-5.0124,-5.3726,-9.125,-4.872,-14.6762,-3.5428,1.8606,-15.069,3.4312,-1.99,0.3856,-4.4762,-7.089,1.3448,-2.4956,-19.324,-4.9642,-1.1144,-9.7508,-15.6742,-0.7084,-6.2666,-9.9428
0.8056,-12.5416,3.775,-0.5484,-10.8858,-0.0472,1.3062,-8.0858,-1.0196,-4.9884,0.4688,-10.5882,-3.8288,-10.3,2.4276,-2.7288,-1.2692,-3.3604,3.109,-0.3542,-8.3072,-5.169,4.8678,-6.1322,2.0356,-1.925,-4.3342,-4.9676,-4.7304,-10.4622,-3.1588,2.1912,2.3468,-0.3238,-10.257,0.505,4.1744,-3.594,-5.973,3.5832
-6.7056,-9.764,-20.8748,-1.4876,-4.043,-0.346,-1.7016,-6.8828,1.761,-8.435,1.0224,0.4144,-7.929,-9.2778,-0.4,-3.5174,-3.8886,-8.9418,-3.8454,-3.821,-6.4536,-11.1072,-2.1966,7.041,-1.75,-7.275,-3.3976,-7.9934,-0.1114,-8.9354,0.568,-4.4202,-7.39,-1.7334,-6.4544,4.4918,-2.9372,-3.9048,-6.0314,-9.9524
-2.9944,-9.5416,-8.0312,-7.2698,-12.2304,-0.6,-3.1224,-6.1028,-3.3458,-2.6862,-4.6586,0.2022,-17.3172,-5.8334,-2.7862,1.677,-8.0424,-3.6916,-3.4342,-4.927,-7.3216,-5.993,-0.4786,-7.925,-1.0096,-0.3968,-0.6278,-3.934,-2.9058,-12.75,-7.441,-4.4812,-0.5798,-2.1786,-0.2714,-19.141,-5.1628,-1.4242,1.6814,0.4524
7.5888,4.7334,-10.2312,8.1618,-3.818,-1.4584,4,0.5856,5.3806,4.054,2.1276,-3.5024,-8.3076,-4.6778,19.1862,0.8788,9.3096,5.9564,2.7068,1.198,-6.132,-9.6762,-5.8946,-0.6144,-3.238,-10.6532,-2.2252,2.1662,-4.7924,1.6206,-2,-10.9506,-4.5216,-2.6904,-4.2372,1.4788,-9.3058,-0.506,-3.1708,-2.2738
24.2222,-4.561,22.0062,-5.0134,-2.809,6.6606,-2.4794,-0.2742,1.9068,0.162,-0.9948,13.788,-12.6962,-0.5332,8.451,-5.2444,12.523,7.3438,11.2704,6.0624,0.8742,-14.4404,-2.884,-10.225,5.5618,-9.397,-1.6784,-6.7694,-3.1696,-7.1962,-4.359,1.2754,18.1064,2.219,1.8144,-0.1804,7.2514,0.2024,-0.2396,18.7
1.6388,2.6,-6.2876,1.9168,3.8232,-11.2584,-0.1556,3.0686,-1.8616,-0.743,-3.1586,6.1358,-7.35,0.8166,-8.6354,-4.2924,-1.4058,1.9416,-4.0158,3,-7.3754,-1.5882,-2.0178,5.0804,-9.7476,3.572,4.9874,2.837,-0.5096,0.2476,-0.8572,0.2406,2.6886,2.7,-1.7286,3.8394,-1.8744,-2.2168,3.2272,-7.7618
6.75,3.6168,15.8686,-3.0494,-0.7946,3.1708,-6.238,-0.6314,1.8856,7.2248,5.0242,-2.4334,-4.671,-4.1472,-8.0058,-2.2866,1.0136,-1.827,2.0976,4.1292,-1.4206,9.4928,-2.5428,-6.075,-1.6642,3.0376,2.1874,2.816,-0.5314,3.0514,-5.7858,0.1884,7.6356,-1,3.4572,0.6426,-1.0828,-6.494,-0.2082,6.6928
6.8056,4.6722,8.7874,9.346,8.0268,-15.281,-0.6206,-7.5056,-6.367,-0.1722,6.9742,-5.9428,1.6922,-1.811,-9.6744,-1.5962,-13.0922,-5.3458,-11.9182,0.15,6.6578,7.0786,0.4624,4.8322,-9.9476,2.5374,-2.7974,6.3822,-3.578,3.2708,0.516,-6.5014,-27.6658,-3.3286,-7.22,-3.695,-6.06,-7.5938,-0.8396,-19.1192
-16.5444,0.2666,-5.125,-3.4652,5.7446,0.6742,-1.1556,-5.6742,1.7894,-6.4774,-3.4294,5.8096,-3.1386,-0.0526,6.5216,-7.3366,-6.2828,-13.8418,0.7886,6.675,1.9774,-7.019,0.766,2.625,-1.7692,2.0094,-3.071,-0.3274,-1.901,-4.712,0.234,6.1274,-9.0912,2.3214,-0.6,-11.3016,2.1258,-3.5674,-0.1332,-6.6024
5.7166,-5.7278,-7.6562,2.4,10.4126,-3.8246,0.4858,1.2256,5.6242,-3.0322,-2.5362,7.1166,3.6366,-4.0778,-6.5058,2.1712,-5.2268,-2.9542,-4.7158,-5.6686,-2.7052,18.9738,3.0446,3.2662,1.9024,6.0938,-3.7164,9.837,-2.5124,26.5756,1.0394,-8.3798,9.8632,2.6214,-2.98,4.7804,-1.7258,-1.5904,-1.6728,-4.8048
1.2112,-4.9112,-0.45,-4.265,6.7768,-0.2426,3.2,-7.9486,1.063,0.2292,3.769,-3.6262,-4.1846,6.5334,7.7646,3.9038,0.0828,-5.9854,8.0296,-2.0396,2.7444,-9.3476,-3.3946,-5.9214,8.8358,-3.8188,-5.6886,1.2162,2.002,26.105,-1.4732,-7.1014,-6.2962,5.9666,6.4456,-7.6262,0.76,3.6722,0.4604,1.0738
8.0224,-5.2334,-6.4874,-4.7528,-4.9696,-2.8516,9.6284,-2.18,-0.669,-0.6774,-7.8862,-8.319,-3.0578,3.7194,-0.8392,1.925,-0.704,0.5146,0.975,-13.1938,2.1732,1.2858,1.1732,4.725,1.8738,-5.7532,0.2026,-3.6918,-4.7838,14.4218,0.6714,3.4144,2.8328,3.4238,-1.0086,-5.3672,-3.2858,0.3048,5.3124,-4.2832
-12.2224,-4.2694,5.4126,-7.9392,-2.7608,5.5686,6.3128,5.2314,2.191,-2.0248,-5.9052,1.1096,-6.1384,7.3556,15.8294,1.8634,14.0308,1.1354,11.6774,7.0124,-12.2104,-13.0714,-0.7946,-2.8876,9.9048,-1.7062,7.1544,4.063,-3.3858,12.1878,-1.3356,-1.1246,7.2482,4.8834,9.26,9.6066,-1.9142,6.306,2.8396,12.843
