Points0,Points1,Points2,cell,,,comm0,proc_300_cor7,proc_300_cor9,intensity
0.165,30,12.441,1,5,377,1,5,12,10769
0.132,30,5.841,2,4,177,1,5,12,9098.6
0.264,30,3.663,3,8,111,1,5,12,8246.3
0.396,30,9.537,4,12,289,1,5,12,12389
0.594,30,6.105,5,18,185,1,5,12,9077.8
0.66,30,1.518,6,20,46,1,5,12,9797.3
0.825,30,16.533,7,25,501,1,5,12,8593.1
0.891,30,4.356,8,27,132,0,5,12,9968.8
0.891,30,2.508,9,27,76,1,5,12,8731
0.99,30,8.283,10,30,251,1,5,12,10888
1.023,30,11.22,11,31,340,1,5,12,11924
1.188,30,8.91,12,36,270,1,5,12,11039
1.353,30,16.434,13,41,498,1,5,12,9086.5
1.419,30,7.557,14,43,229,1,5,12,10077
1.782,30,12.804,15,54,388,1,5,12,10652
2.211,30,1.023,16,67,31,0,5,12,8866.2
2.211,30,9.768,17,67,296,0,5,12,12326
2.508,30,13.035,18,76,395,1,5,12,11813
2.442,30,7.392,19,74,224,0,5,12,9916.7
2.475,30,2.772,20,75,84,0,5,12,8422.4
2.64,30,1.551,21,80,47,0,5,12,9436
2.772,30,8.382,22,84,254,0,5,12,10692
2.805,30,10.461,23,85,317,0,5,12,12921
3.531,30,16.797,24,107,509,1,5,12,9480.8
3.465,30,8.019,25,105,243,0,5,12,11130
3.762,30,7.128,26,114,216,0,5,12,12121
3.663,30,4.785,27,111,145,0,5,12,10064
3.861,30,12.276,28,117,372,0,5,12,11745
3.828,30,7.92,29,116,240,1,5,12,12250
4.125,30,5.511,30,125,167,0,5,12,10676
4.158,30,0.462,31,126,14,1,5,12,8590.9
4.29,30,13.959,32,130,423,1,5,12,11164
4.356,30,9.702,33,132,294,1,5,12,11125
4.587,30,11.781,34,139,357,0,5,12,10988
4.785,30,10.164,35,145,308,0,5,12,10749
4.917,30,11.22,36,149,340,0,5,12,11504
4.983,30,0.759,37,151,23,0,5,12,9030
5.016,30,5.412,38,152,164,0,5,12,10360
5.214,30,12.441,39,158,377,1,5,12,11074
5.313,30,11.715,40,161,355,0,5,12,11045
5.346,30,7.227,41,162,219,1,5,12,10953
5.478,30,10.725,42,166,325,0,5,12,12371
5.577,30,9.108,43,169,276,0,5,12,10902
5.709,30,4.158,44,173,126,0,5,12,9486.5
5.676,30,5.94,45,172,180,0,5,12,12342
5.775,30,4.62,46,175,140,0,5,12,9837.5
5.907,30,15.345,47,179,465,0,5,12,10785
6.006,30,7.953,48,182,241,0,5,12,10893
6.138,30,11.88,49,186,360,0,5,12,11809
6.072,30,4.983,50,184,151,1,5,12,11712
6.336,30,13.002,51,192,394,0,5,12,11644
6.567,30,4.587,52,199,139,0,5,12,10700
6.798,30,8.085,53,206,245,1,5,12,11403
6.666,30,3.234,54,202,98,0,5,12,10231
6.765,30,10.626,55,205,322,0,5,12,10969
6.831,30,14.091,56,207,427,0,5,12,10972
6.93,30,15.081,57,210,457,1,5,12,9533.3
7.095,30,3.234,58,215,98,0,5,12,10026
7.095,30,11.319,59,215,343,0,5,12,10990
7.326,30,5.775,60,222,175,0,5,12,10824
7.59,30,10.527,61,230,319,0,5,12,11368
