Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,Cell 16,Cell 17,Cell 18,Cell 19,Cell 20,Cell 21,Cell 22,Cell 23,Cell 24,Cell 25,Cell 26,Cell 27,Cell 28,Cell 29,Cell 30,Cell 31,Cell 32,Cell 33,Cell 34,Cell 35,Cell 36,Cell 37,Cell 38,Cell 39
403.078,743.931,874.926,1538.045,1119.431,1240.083,1705.113,1855.437,1500.971,1540.246,1449.035,1268.008,930.817,841.297,750.346,708.336,1017.339,828.375,743.1,809.951,796.612,708.391,607.119,765.268,526.808,576.362,821.955,1078.482,1014.558,1396.73,1006.455,1054.222,788.87,781.921,720.521,477.932,916.42,597.304,242.147
406.5,739.385,880.838,1540.053,1104.127,1241.32,1681.928,1856.318,1522.779,1525.812,1452.939,1269.098,932.5,847.234,744.135,702.786,1023.522,835.346,742.486,805.706,785.448,705.974,615.681,775.625,535.038,582.025,816.82,1083.153,998.935,1408.292,992.413,1051.042,759.623,777.921,704.274,462.158,895.911,585.821,251.86
412.235,737.685,887.529,1541.812,1091.235,1242.196,1663.062,1852.905,1538.971,1505.696,1451.948,1273.346,931.673,849.938,737.654,695.7,1023.348,837.308,740.614,798.029,774.267,703.748,622.556,782.143,546.048,584.713,806.647,1085.241,983.442,1417.19,979.967,1038.231,736.206,770.563,690.151,447.219,876.143,571.741,259.007
417.392,737.5,892.456,1539.436,1085.618,1239.289,1651.505,1844.111,1546.212,1481.927,1441.487,1279.617,927.962,849.039,734.594,687.357,1016.409,832.644,740.364,788.784,765.009,703.411,625.487,781.339,558.769,583.475,792.812,1082.007,972.478,1421.073,971.736,1016.102,723.123,761.968,680.979,436.582,856.188,558.464,262.14
419.157,737.492,894.081,1530.241,1088.098,1229.103,1645.361,1832.897,1547.24,1458.855,1418.357,1281.925,921.346,845.602,736.654,679.121,1005.426,824.096,744.257,780.98,757.612,705.636,624.056,773.955,571,579.987,778.812,1073.723,965.906,1418.131,966.893,989.37,718.637,753.921,676.712,431.288,833.92,548.455,262
416.039,737.5,892.838,1516.053,1093.706,1210.536,1640.031,1824.651,1547.731,1440.949,1384.756,1273.812,911.692,841.648,741.82,672.943,993.904,816.25,751.114,778.108,751.664,709.371,619.144,763.411,579.163,577.037,768.677,1064.818,959.587,1407.044,961.554,964.319,718.315,747.008,674.904,429.774,810.277,542.009,260.434
408.059,737.777,889.824,1502.12,1094.823,1186.464,1633.134,1823.222,1551.019,1429.819,1349.2,1255.06,899.817,838.281,745.459,670.779,984.183,812.567,755.707,781.049,748.414,712.881,612.25,753.071,579.913,576.188,763.737,1061.314,949.413,1389.241,954.099,945.44,719.425,741.048,672.842,429.445,789.536,537.259,258.581
397.569,737.731,885.801,1493.752,1087.559,1162.979,1626.299,1829.492,1557.154,1422.638,1321.93,1233.038,887.5,835.102,744.451,674.436,976.913,814.673,753.821,787.402,750.328,715.523,604.856,745.652,572.356,577.1,762.534,1064.372,934.761,1368.832,946.76,934.482,722.014,735.643,668.966,428.699,775.955,533.071,257.007
388.353,736.146,881.176,1493.992,1074.804,1146.835,1623.33,1840.73,1564.308,1415.145,1308.226,1217.008,877.106,830.5,738.338,684.686,971.722,821.288,746.236,792.578,757.345,717.742,598.319,743.643,558.971,577.513,762.519,1067.62,917.449,1349.818,942.339,930.611,725.733,731.04,663.082,427.377,770.777,530.75,256
383.304,733.115,875.64,1500.579,1062.52,1141.021,1624.639,1851.421,1570.192,1406.71,1306.087,1211.436,870.365,822.727,729.571,698.85,966.774,829.048,738.2,792.51,765.112,720.589,593.519,746.964,543.49,575.025,762.669,1062.752,899.913,1333.854,939.785,930.884,728.76,727.437,655.959,425.308,772.018,532.464,255.191
381.765,729.146,868.426,1505.556,1052.647,1141.309,1626.505,1855.937,1572.5,1400.819,1310.096,1214.707,868.74,810.984,721.541,711.057,959.722,834.029,735.214,785.716,768.31,723.543,590.8,752.652,529,568.338,763.451,1047.036,884.348,1320.46,934.967,931.366,729.438,724.437,648.281,422.5,776.518,538.464,253.868
380.608,724.769,858.331,1501.632,1043.343,1140.536,1625.289,1852.325,1569.442,1400.478,1315.687,1221.368,872.49,797.719,716.624,715.907,948.983,835.5,739.936,774.078,764.879,723.848,590.15,756.598,517.096,558.862,765.271,1024.109,872.703,1309.088,927.306,929.324,727.527,721.579,640.979,419.822,780.866,546.214,251.412
377.382,719.531,845.287,1488.782,1033.363,1134.32,1621.588,1842.079,1560.048,1403.638,1320.504,1223.895,879.462,787.602,714.481,712.25,936.104,835.808,750.829,760.304,756.457,718.192,589.9,756.027,508.375,549.388,766.188,999.65,865.79,1299.511,921.603,924.931,723.534,719.063,634.87,419.185,783.393,551.795,247.794
372.637,713.215,831.794,1474.624,1024.255,1124.33,1619.062,1827.714,1545.231,1405.232,1323.035,1215.398,885.538,784.445,713.827,702.35,924.713,837.913,762.357,746.618,747.44,706.477,587.594,750.027,502.933,542.65,764.18,977.693,862.558,1290.635,921.752,920.079,717.466,716.659,630.288,422.068,784.268,553.125,243.301
368.98,707.115,823.765,1466.346,1017.961,1115.825,1620.34,1811.206,1527.75,1401.616,1321.409,1193.812,887.731,787.352,714.331,689.557,917.322,841.615,768.386,734.765,740.776,692.987,582.144,739.679,501.087,539.775,758.729,960.993,861.043,1280.285,925.017,916.468,709.5,712.849,626.719,427.582,782.964,550.446,238.419
368.304,703.315,827.059,1462.857,1015.225,1112.67,1624.072,1795.087,1510.644,1393.732,1315.261,1165.165,886.25,792.555,716.293,677.436,913.548,843.962,766.264,727.01,736.724,683.397,575.619,728.741,503.202,541.562,751.887,951.657,859.312,1267.007,924.636,914.393,700.425,706.484,623.103,432.014,777.634,545.5,234.118
370.451,702.746,842.184,1456.316,1018.02,1115.938,1625.505,1781.357,1495.894,1384.804,1306.635,1139.895,883.76,796.383,719.97,669.643,910.643,842.317,757.879,724.863,732.707,679.947,571.213,721.777,509.5,547.588,744.556,949.628,856.659,1251.971,917.438,913.051,691.233,698.952,618.041,431.795,766.5,539.062,231.059
375,704.123,862.088,1441.218,1028.99,1123.062,1619.856,1770.087,1483.827,1377.725,1298.739,1125.15,881.721,797.461,723.857,668.4,906.156,837.885,747.55,727.5,727.888,679.338,569.544,719.911,517.971,555.85,736.023,951.555,853.109,1238.394,906.083,911.333,683.651,693.484,610.651,425.548,751.125,530.777,228.985
381.078,706.708,877.64,1420.549,1046.696,1128.536,1606.32,1759.651,1474.279,1375.109,1293.087,1120.414,879.875,795.969,725.12,671.879,900.757,835.183,738.65,731.51,724.422,676.258,568.419,719.938,524.635,563.938,725.481,954.022,847.986,1230.372,895.62,908.532,678.562,691.27,601.363,415.356,736.286,520.393,227.779
387.588,711.046,884.412,1402.398,1063.814,1126.505,1591.093,1748.397,1469.038,1378.725,1288.756,1120.534,877.721,791.445,721.737,674.757,897.296,836.894,732.007,733.627,725.284,668.921,565.444,717.688,526.288,570.862,715.165,956.044,841.087,1229.292,889.058,904.213,676.137,690.516,592.589,405.26,726.607,509.018,227.978
392.412,717.138,884.581,1393.677,1071.686,1116.845,1583.753,1735.476,1470.615,1386.819,1283.844,1121.338,875.433,782.281,714.143,672.436,897.565,840.692,726.443,733.549,730.345,660.934,560.194,712.857,522.75,576.862,708.617,958.555,834.659,1232.307,886.422,898.111,675.849,688.429,586.973,399.692,724.402,498.973,230.978
394.363,723.515,881.375,1396.414,1066.804,1106.773,1589.722,1720.071,1478.769,1392.073,1278.148,1121.286,872.471,767.484,703.707,664.314,899.478,841.337,721.214,733,735.56,656.384,554.775,709.616,517.106,581.975,706.707,962.745,832.377,1234.007,886.248,890.685,677.726,684.317,585.082,400.548,728.875,491.75,236.404
393.618,727.254,874.478,1407.827,1053.049,1103.897,1605.134,1702,1489.548,1386.457,1272.756,1121.188,867.375,749.875,692.09,653.807,900.278,835.048,718.264,733.794,737.284,656.106,552.656,711.92,512.183,584.5,706.714,969.088,834.804,1230.474,887.645,883.546,681.425,679.865,584.664,406.582,736.714,486.188,241.728
390.569,726.538,861.566,1422.203,1038.029,1108.928,1619.65,1683.937,1498.462,1368.761,1268.704,1120.932,859.038,736.5,681.015,645.543,900.426,822.75,718.564,735.108,736.017,657,556.519,719.839,508.365,582.35,705.511,978.474,838.964,1222.803,890.091,877.982,684.658,677.857,581.76,413.849,743.562,479.875,244.588
384.52,722.254,842.978,1433.564,1028.078,1116.608,1624.722,1670.54,1504.558,1346.043,1266.261,1119.992,849.212,734.234,671.827,642.321,902.696,806.971,719.221,734.363,736.655,656.053,566.469,730.607,504.01,575.5,703.316,991.212,841.529,1215.438,891.669,873.694,684.253,678.968,574.384,418.651,746.179,471.929,243.993
375.265,717.069,823.551,1438.774,1024.196,1120.814,1617.34,1665.341,1510.5,1328.862,1264.217,1117.376,841.144,743.922,665.594,644.05,907.061,789.779,716.114,728.657,742.931,652.199,579.156,741.277,497.221,565.662,702.602,1004.942,841.957,1211.847,889.314,868.81,678.966,680.921,565.192,419.39,744.25,463.893,240.735
364.52,712.115,809.971,1438.03,1022.676,1118.608,1599.505,1666.778,1519.087,1323.312,1259.904,1112.534,837.865,759.508,663.195,649.086,908.861,771.923,708.814,717.814,753.397,646.98,590.094,750.5,487.577,555.9,704.571,1013.328,841.442,1211.65,882.141,862.31,670.555,679.929,559.151,416.795,738.83,457.964,236.934
355.01,706.338,805.037,1432.496,1018.52,1110.969,1577.247,1668.302,1529.163,1327.283,1250.678,1105.331,840.462,772.469,666.391,655.371,903.904,755.808,701.279,705.333,763.362,644.053,595.619,757.357,476.202,548.888,707.053,1010.321,840.732,1212.387,873.091,855.579,662.363,674.151,559.185,412.308,731.411,455.589,233.493
347.392,697.785,805.699,1422.586,1010.637,1101.402,1559.062,1664.182,1535.452,1332.964,1237.522,1096.602,847.933,777.695,675.541,660.736,893.609,745.115,697.536,696.304,769.129,647.404,594.669,761.464,465.981,546.588,706.233,995.496,839.986,1212.65,866.661,851.009,655.623,664.635,563.171,407.24,723.839,456.902,230.169
340.461,686.415,805.338,1408.917,1002.686,1094.196,1551.516,1655.484,1532.462,1333.123,1223.878,1088.782,858.144,775.875,688.113,663.336,884.574,742.413,698.55,692.98,769.56,658.007,588.356,764.009,460.413,548.438,700.398,976.153,838.826,1211.533,865.537,849.393,649.986,654.095,566.582,402.007,719.83,462.17,225.743
333.069,673.592,799.213,1394.075,999.275,1092.35,1554.608,1648.722,1517.635,1325.073,1213.817,1083.752,869.827,770.742,700.105,661.686,881.452,746.019,702.329,692.873,764.681,671.563,579,765.821,461.567,551.112,690.91,961.511,837.391,1207.562,869.736,849.704,645.116,645.198,566.39,396.795,722.054,470.679,220.059
327.186,661.969,788.963,1380.647,1001.971,1096.093,1561.68,1649.667,1492.74,1311.188,1208.565,1080.835,882.077,765.258,708.248,655.586,882.913,750.394,706.043,691.5,755.681,682.265,568.888,765.375,468.548,550.338,681.466,955.015,835.949,1199.533,877.223,851.074,642.308,639.619,563.425,392.041,728.884,480.286,214.147
325.402,655.685,781.096,1369.06,1006.931,1103.402,1563.907,1657.921,1463.481,1296.87,1207.565,1077.316,892.76,759.602,711.767,646.007,883.878,750.654,707.786,687.382,745.397,686.205,559.263,760.321,477.404,544.513,677.038,952.964,834.638,1188.453,884.488,853.801,642.507,638.405,559.829,388.452,734.366,487.679,209.669
328.441,658.985,781.154,1359.684,1006.941,1111.186,1556.33,1667.619,1437.356,1287.181,1209.035,1072.293,899.356,753.281,711.015,634.7,881.156,746.692,706.807,683.755,736.552,682.735,551.05,750.089,483.51,536.312,681.188,949.504,832.435,1177.255,887.562,857.357,644.925,642.532,557.103,386.719,734.625,490.482,207.934
334.814,671.831,788.919,1355.436,996.922,1116.629,1541.381,1672.31,1421.337,1283.739,1212.122,1068.579,901.163,747.203,706.782,623.664,875.122,743.067,704,684.118,730.017,673.47,545.725,737.223,484.885,531.15,692.842,942.292,827.797,1169.372,883.81,859.366,647.075,651.913,555.342,387.562,730.732,488.411,208.728
341.245,689.015,799.559,1358.624,976.353,1116.917,1526.866,1668.04,1418.769,1285.543,1216.322,1070.03,899.663,743.414,700.752,614.214,868.383,743.606,701.493,688.882,723.888,661.967,545.175,725.062,483.365,533.175,705.94,934.022,821.319,1166.613,873.793,857.597,646.5,663.976,554.13,390.637,726.839,483.045,211.081
345.363,703.646,807.551,1366.549,950.127,1110.144,1520.526,1655.675,1427.346,1292.594,1221.374,1076.526,895.885,742.984,694.752,607.514,862.791,748.115,702.221,695.353,715.034,653.146,549.106,715.143,481.673,542.05,712.887,929.197,814.942,1167.971,861.496,852.745,643.041,672.897,553.021,394.568,724.929,476.616,213.147
346.412,711.446,809.699,1372.301,926.696,1098.742,1523.866,1640.54,1439.26,1306.304,1227.365,1083.541,889.837,745.156,689.722,604.714,857.826,753.048,706.329,700.853,703.026,649.742,554.231,706.652,481.356,553.6,710.383,929.168,809.558,1170.781,851.107,847.857,638.144,672.381,551.452,397.425,723.991,471.321,213.846
