Points0,Points1,Points2,,filtered
252,25,430,,-0.29651
243,25,419,,0.3939
281,25,416,,-0.51226
277,25,389,,-0.17399
326,25,378,,1.32605
300,25,356,,-0.10718
266,25,376,,2.00892
233,25,385,,-0.07634
234,25,371,,-1.88961
191,25,383,,1.25067
174,25,370,,-0.33827
336,25,289,,-0.09445
390,25,259,,-0.14583
362,25,245,,-0.51443
360,25,232,,0.53817
392,25,218,,0.48089
244,25,224,,-0.53574
263,25,231,,-0.60402
275,25,230,,0.0532
255,25,212,,0.36782
258,25,196,,0.96733
243,25,189,,0.20943
249,25,169,,-0.74188
228,25,166,,-0.89741
217,25,153,,-0.71311
208,25,155,,-0.49069
196,25,181,,0.44494
144,25,228,,-0.40473
142,25,249,,1.3537
118,25,284,,-1.00182
46,25,280,,1.21671
52,25,215,,0.27554
128,25,184,,2.53418
70,25,149,,0.34659
87,25,145,,1.40776
120,25,128,,1.36678
67,25,206,,1.77706
7,25,181,,0.99497
38,25,106,,-0.84161
143,25,381,,-1.25223
159,25,362,,-0.49337
160,25,335,,1
167,25,306,,1.28126
181,25,303,,1.43107
90,25,296,,0.96933
227,25,335,,-1.56442
219,25,357,,-1.70748
273,25,360,,0.66008
294,25,341,,3.11108
311,25,306,,0.33472
381,25,339,,-1.05753
388,25,327,,-0.25856
357,25,328,,0.9812
371,25,332,,1.45507
377,25,309,,-0.18031
409,25,291,,1.07339
398,25,279,,1.68382
422,25,286,,-1.84473
433,25,314,,-0.5834
350,25,390,,0.55359
406,25,215,,0.74742
434,25,240,,-1.06516
392,25,183,,1.25578
366,25,216,,-0.38238
323,25,240,,0.38783
334,25,256,,0.89004
279,25,212,,-1.15432
264,25,162,,1.80894
184,25,205,,1.13768
76,25,218,,0.27857
32,25,244,,0.54155
19,25,218,,0.93935
31,25,189,,1.85911
18,25,169,,0.75496
29,25,147,,1.62326
145,25,149,,0.38835
165,25,161,,3.49597
157,25,121,,-1.52205
223,25,226,,5.29945
234,25,234,,-0.68469
191,25,216,,0.17997
268,25,281,,-0.55879
241,25,289,,3.4893
110,25,254,,1.17096
56,25,250,,-1.77246
51,25,189,,2.25284
355,25,198,,0.31566
311,25,181,,0.78693
276,25,150,,0.03899
448,25,213,,0.11671
255,25,105,,0.0279
289,25,111,,-0.69907
316,25,117,,0.23178
425,25,183,,-0.91803
325,25,269,,0.70652
296,25,259,,1.97141
167,25,229,,-0.40898
83,25,211,,0.13933
303,25,396,,-0.76605
349,25,311,,0.27129
401,25,330,,-0.63409
152,25,294,,-0.86448
144,25,279,,2.53687
160,25,280,,4.11204
91,25,159,,1.32294
371,25,239,,-1.86353
206,25,333,,3.94281
189,25,338,,-2.43298
196,25,297,,2.26982
214,25,107,,0.84854
252,24.95145631,212.9599666,,-0.3229
243,24.95145631,212.222636,,0.24872
281,24.95145631,211.4853053,,-0.45989
277,24.95145631,210.7479747,,-0.14056
326,24.95145631,430,,1.05562
300,24.95145631,419,,-0.08027
266,24.95145631,416,,1.57898
233,24.95145631,389,,0.06577
234,24.95145631,378,,-1.43789
191,24.95145631,356,,1.23792
174,24.95145631,376,,-0.13896
336,24.95145631,385,,-0.17659
390,24.95145631,371,,-0.04773
362,24.95145631,383,,-0.33956
360,24.95145631,370,,0.46645
392,24.95145631,289,,0.45623
244,24.95145631,259,,-0.26257
263,24.95145631,245,,-0.36176
275,24.95145631,232,,0.08361
255,24.95145631,218,,0.41769
258,24.95145631,224,,0.82416
243,24.95145631,231,,0.1725
249,24.95145631,230,,-0.5803
228,24.95145631,212,,-0.64719
217,24.95145631,196,,-0.69184
208,24.95145631,189,,-0.3272
196,24.95145631,169,,0.53226
144,24.95145631,166,,-0.26595
142,24.95145631,153,,1.14865
118,24.95145631,155,,-0.77188
46,24.95145631,181,,0.98736
52,24.95145631,228,,0.5279
128,24.95145631,249,,1.9802
70,24.95145631,284,,0.39736
87,24.95145631,280,,1.13396
120,24.95145631,215,,1.13832
67,24.95145631,184,,1.49051
7,24.95145631,149,,0.92626
38,24.95145631,145,,-0.63845
143,24.95145631,128,,-1.01624
159,24.95145631,206,,-0.45239
160,24.95145631,181,,1
167,24.95145631,106,,1.27005
181,24.95145631,381,,0.82687
90,24.95145631,362,,0.98734
227,24.95145631,335,,-0.8842
219,24.95145631,306,,-0.8925
273,24.95145631,303,,0.60232
294,24.95145631,296,,2.66319
311,24.95145631,335,,0.54923
381,24.95145631,357,,-0.90818
388,24.95145631,360,,-0.48585
357,24.95145631,341,,0.36879
371,24.95145631,306,,1.40179
377,24.95145631,339,,-0.12222
409,24.95145631,327,,0.75303
398,24.95145631,328,,1.28582
422,24.95145631,332,,-1.47569
433,24.95145631,309,,-0.31235
350,24.95145631,291,,0.36328
406,24.95145631,279,,0.30723
434,24.95145631,286,,-0.75592
392,24.95145631,314,,0.94703
366,24.95145631,390,,-0.31166
323,24.95145631,215,,0.17744
334,24.95145631,240,,0.94554
279,24.95145631,183,,-0.82175
264,24.95145631,216,,1.47756
184,24.95145631,240,,0.82099
76,24.95145631,256,,0.36071
32,24.95145631,212,,0.58349
19,24.95145631,162,,0.86394
31,24.95145631,205,,1.65795
18,24.95145631,218,,0.77741
29,24.95145631,244,,1.32439
145,24.95145631,218,,0.51365
165,24.95145631,189,,2.84007
157,24.95145631,169,,-1.22162
223,24.95145631,147,,4.36076
234,24.95145631,149,,-0.33175
191,24.95145631,161,,0.17431
268,24.95145631,121,,-0.06562
241,24.95145631,226,,2.85675
110,24.95145631,234,,1.07095
56,24.95145631,216,,-1.01699
51,24.95145631,281,,2.13354
355,24.95145631,289,,0.31231
311,24.95145631,254,,0.60977
276,24.95145631,250,,0.04559
448,24.95145631,189,,0.14195
255,24.95145631,198,,0.09919
289,24.95145631,181,,-0.50019
316,24.95145631,150,,0.15865
425,24.95145631,213,,-0.71476
325,24.95145631,105,,0.60352
296,24.95145631,111,,1.66412
167,24.95145631,117,,-0.47856
83,24.95145631,183,,0.17083
303,24.95145631,269,,-0.54214
349,24.95145631,259,,0.39449
401,24.95145631,229,,-0.34786
152,24.95145631,211,,-0.38949
144,24.95145631,396,,2.09044
160,24.95145631,311,,3.61683
91,24.95145631,330,,0.96806
371,24.95145631,294,,-1.41295
206,24.95145631,279,,3.34759
189,24.95145631,280,,-2.11846
196,24.95145631,159,,1.9204
214,24.95145631,239,,0.72012
252,24.90291262,333,,-0.28999
243,24.90291262,338,,0.05591
281,24.90291262,297,,-0.31396
277,24.90291262,107,,-0.000424
326,24.90291262,212.9599666,,0.51823
300,24.90291262,212.222636,,0.03834
266,24.90291262,211.4853053,,0.83301
233,24.90291262,210.7479747,,0.30062
234,24.90291262,430,,-0.65504
191,24.90291262,419,,1.14421
174,24.90291262,416,,0.26415
336,24.90291262,389,,-0.26962
390,24.90291262,378,,0.10819
362,24.90291262,356,,-0.06224
360,24.90291262,376,,0.2658
392,24.90291262,385,,0.40239
244,24.90291262,371,,0.1605
263,24.90291262,383,,0.04457
275,24.90291262,370,,0.0626
255,24.90291262,289,,0.44056
258,24.90291262,259,,0.54756
243,24.90291262,245,,0.07532
249,24.90291262,232,,-0.27492
228,24.90291262,218,,-0.18051
217,24.90291262,224,,-0.6198
208,24.90291262,231,,-0.05417
196,24.90291262,230,,0.61923
144,24.90291262,212,,0.00875
142,24.90291262,196,,0.71703
118,24.90291262,189,,-0.35782
46,24.90291262,169,,0.56311
52,24.90291262,166,,0.88507
128,24.90291262,153,,1.00573
70,24.90291262,155,,0.41631
87,24.90291262,181,,0.63523
120,24.90291262,228,,0.69284
67,24.90291262,249,,1.04831
7,24.90291262,284,,0.72573
38,24.90291262,280,,-0.28772
143,24.90291262,215,,-0.55139
159,24.90291262,184,,-0.27404
160,24.90291262,149,,1
167,24.90291262,145,,1.25734
181,24.90291262,128,,-0.03277
90,24.90291262,206,,0.89566
227,24.90291262,181,,0.23228
219,24.90291262,106,,0.32686
273,24.90291262,381,,0.44497
294,24.90291262,362,,1.82852
311,24.90291262,335,,0.89109
381,24.90291262,306,,-0.60461
388,24.90291262,303,,-0.72743
357,24.90291262,296,,-0.55357
371,24.90291262,335,,1.21
377,24.90291262,357,,-0.01111
409,24.90291262,360,,0.22184
398,24.90291262,341,,0.58949
422,24.90291262,306,,-0.83921
433,24.90291262,339,,0.11832
350,24.90291262,327,,0.12408
406,24.90291262,328,,-0.32573
434,24.90291262,332,,-0.24251
392,24.90291262,309,,0.44905
366,24.90291262,291,,-0.16205
323,24.90291262,279,,-0.20292
334,24.90291262,286,,0.96332
279,24.90291262,314,,-0.16705
264,24.90291262,390,,0.90583
184,24.90291262,215,,0.29182
76,24.90291262,240,,0.50397
32,24.90291262,183,,0.59919
19,24.90291262,216,,0.67497
31,24.90291262,240,,1.25796
18,24.90291262,256,,0.75927
29,24.90291262,212,,0.77881
145,24.90291262,162,,0.68132
165,24.90291262,205,,1.65288
157,24.90291262,218,,-0.63246
223,24.90291262,244,,2.55738
234,24.90291262,218,,0.22089
191,24.90291262,189,,0.2153
268,24.90291262,169,,0.59385
241,24.90291262,147,,1.7063
110,24.90291262,149,,0.89283
56,24.90291262,161,,0.24815
51,24.90291262,121,,1.82043
355,24.90291262,226,,0.272
311,24.90291262,234,,0.34773
276,24.90291262,216,,0.03746
448,24.90291262,281,,0.15411
255,24.90291262,289,,0.20447
289,24.90291262,254,,-0.16747
316,24.90291262,250,,0.05477
425,24.90291262,189,,-0.31273
325,24.90291262,198,,0.4074
296,24.90291262,181,,1.04536
167,24.90291262,150,,-0.48208
83,24.90291262,213,,0.27678
303,24.90291262,105,,-0.13142
349,24.90291262,111,,0.60691
401,24.90291262,117,,0.11687
152,24.90291262,183,,0.32775
144,24.90291262,269,,1.36249
160,24.90291262,259,,2.55433
91,24.90291262,229,,0.37736
371,24.90291262,211,,-0.62046
206,24.90291262,396,,2.15084
189,24.90291262,311,,-1.41747
196,24.90291262,330,,1.38281
214,24.90291262,294,,0.47565
252,24.85436893,279,,-0.1484
243,24.85436893,280,,0.00429
281,24.85436893,159,,-0.14064
277,24.85436893,239,,0.22538
326,24.85436893,333,,0.07918
300,24.85436893,338,,0.25582
266,24.85436893,297,,0.37357
233,24.85436893,107,,0.40674
234,24.85436893,212.9599666,,-0.18121
191,24.85436893,212.222636,,0.9638
174,24.85436893,211.4853053,,0.66723
336,24.85436893,210.7479747,,-0.18349
390,24.85436893,430,,0.20693
362,24.85436893,419,,0.08449
360,24.85436893,416,,0.02985
392,24.85436893,389,,0.34088
244,24.85436893,378,,0.36093
263,24.85436893,356,,0.26443
275,24.85436893,376,,-0.06733
255,24.85436893,385,,0.35296
258,24.85436893,371,,0.34562
243,24.85436893,383,,-0.03414
249,24.85436893,370,,-0.03875
228,24.85436893,289,,0.1563
217,24.85436893,259,,-0.51363
208,24.85436893,245,,0.09303
196,24.85436893,232,,0.57168
144,24.85436893,218,,0.2275
142,24.85436893,224,,0.36833
118,24.85436893,231,,-0.03174
46,24.85436893,230,,0.27481
52,24.85436893,212,,0.99568
128,24.85436893,196,,0.37665
70,24.85436893,189,,0.34297
87,24.85436893,169,,0.28507
120,24.85436893,166,,0.33708
67,24.85436893,153,,0.86343
7,24.85436893,155,,0.48444
38,24.85436893,181,,-0.06745
143,24.85436893,228,,-0.1518
159,24.85436893,249,,0.03947
160,24.85436893,284,,1
167,24.85436893,280,,1.27552
