Points0,Points1,Points2,,intensity,filtered
94,200,0,,1463.222,-1
174,200,8,,1097.069,-1
97,200,5,,1313.938,-1
103,200,27,,1389.663,-1
143,200,50,,1094.5,-1
163,200,70,,1031.011,-1
162,200,95,,1209.611,-1
138,200,110,,1101.671,-1
107,200,117,,1138.767,-1
97,200,104,,994.642,-1
114,200,93,,938.043,-1
121,200,75,,1133.679,-1
178,200,153,,1114.817,-1
148,200,176,,761.903,-1
7,200,178,,1109.029,-1
2,200,168,,1098.481,-1
17,200,116,,1281.856,-1
31,200,41,,1121.656,-1
116,200,146,,784.239,-1
118,200,17,,1005.323,-1
149,200,38,,889.711,-1
194,200,154,,899,-1
55,200,167,,796.759,-1
59,200,96,,1055.625,-1
83,200,119,,950.405,-1
111,200,175,,752.109,-1
81,200,156,,644.962,-1
97,200,59,,1194.306,-1
27,200,142,,1009.643,-1
80,200,66,,1128.591,-1
70,200,124,,847.473,-1
61,200,26,,1027.841,-1
139,200,58,,1142.418,-1
137,200,163,,814.857,-1
169,200,131,,766.271,-1
0,200,127,,1304.787,-1
68,200,66,,921.657,-1
52,200,144,,891.958,-1
183,200,94,,711.656,-1
57,200,61,,1130.44,-1
94,199.4358251,0,,1391.75,-1
174,199.4358251,8,,1050.847,-1
97,199.4358251,5,,1287.188,-1
103,199.4358251,27,,1379.899,-1
143,199.4358251,50,,1133.018,-1
163,199.4358251,70,,1019.798,-1
162,199.4358251,95,,1220.19,-1
138,199.4358251,110,,1116.886,-1
107,199.4358251,117,,1115.827,-1
97,199.4358251,104,,972.642,-1
114,199.4358251,93,,937.414,-1
121,199.4358251,75,,1110.214,-1
178,199.4358251,153,,1041.644,-1
148,199.4358251,176,,728.097,-1
7,199.4358251,178,,1151.961,-1
2,199.4358251,168,,1090.587,-1
17,199.4358251,116,,1252.346,-1
31,199.4358251,41,,1143.479,-1
116,199.4358251,146,,774.727,-1
118,199.4358251,17,,1008.542,-1
149,199.4358251,38,,898.041,-1
194,199.4358251,154,,854.964,-1
55,199.4358251,167,,777.455,-1
59,199.4358251,96,,1093.509,-1
83,199.4358251,119,,959.94,-1
111,199.4358251,175,,752.953,-1
81,199.4358251,156,,649.139,-1
97,199.4358251,59,,1236.484,-1
27,199.4358251,142,,991.105,-1
80,199.4358251,66,,1141.896,-1
70,199.4358251,124,,820.366,-1
61,199.4358251,26,,1009.087,-1
139,199.4358251,58,,1140.101,-1
137,199.4358251,163,,777.583,-1
169,199.4358251,131,,757.886,-1
0,199.4358251,127,,1282.902,-1
68,199.4358251,66,,881.271,-1
52,199.4358251,144,,872.145,-1
183,199.4358251,94,,748.51,-1
57,199.4358251,61,,1093.726,-1
94,198.8716502,0,,1396.4334,-1
174,198.8716502,8,,1046.8414,-1
97,198.8716502,5,,1297.7878,-1
103,198.8716502,27,,1346.537,-1
143,198.8716502,50,,1080.9608,-1
163,198.8716502,70,,996.7618,-1
162,198.8716502,95,,1206.373,-1
138,198.8716502,110,,1101.1256,-1
107,198.8716502,117,,1126.4646,-1
97,198.8716502,104,,976.35,-1
114,198.8716502,93,,934.643,-1
121,198.8716502,75,,1106.1834,-1
178,198.8716502,153,,980.6096,-1
148,198.8716502,176,,747.2028,-1
7,198.8716502,178,,1103.1568,-1
2,198.8716502,168,,1088.7694,-1
17,198.8716502,116,,1246.1558,-1
31,198.8716502,41,,1118.525,-1
116,198.8716502,146,,785.3978,-1
118,198.8716502,17,,998.4188,-1
149,198.8716502,38,,887.3462,-1
194,198.8716502,154,,869.488,-1
55,198.8716502,167,,785.2928,-1
59,198.8716502,96,,1081.918,-1
83,198.8716502,119,,952.0238,-1
111,198.8716502,175,,739.3906,-1
81,198.8716502,156,,643.5192,-1
