Cell#1,Cell#2,Cell#3,Cell#4,Cell#5,Cell#6,Cell#7,Cell#8,Cell#9,Cell#10,Cell#11,Cell#12,Cell#13,Cell#14,Cell#15,Cell#16,Cell#17,Cell#18,Cell#19,Cell#20,Cell#21,Cell#22,Cell#23,Cell#24,Cell#25,Cell#26,Cell#27,Cell#28,Cell#29,Cell#30,Cell#31,Cell#32,Cell#33,Cell#34,Cell#35,Cell#36,Cell#37,Cell#38,Cell#39,Cell#40
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.716,0,0,0,0.8452,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.614,0,0,0,0,6.5274,0,0,0,0,0,0,0,0,0,0,0,6.3464,0,0,0,0,0,0,0,0,0
0,0,0.9124,0,0,0,0,0,0,0,0,0,0,0,0,4.7058,0,0,0,0,0,5.4882,0,0.1606,0,0,0,5.6468,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,7.6022,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,2.4928,0,0,0,0,1.962,0,0,0,0,0,5.8836,1.5976,0,0,1.7314,0,0,0
3.9722,0,0,0,0,0,0,1.8344,0,0,0,0.3952,0,0.9972,1.0058,0,0,0,0,0,0,1.2262,0,0,0,0.122,2.7696,0,0,0.3012,0,0,1.4278,1.9928,0,0,0,0,0.275,0
5.261,0,0,0,0,12.9078,0,5.84,1.6332,3.0306,0,9.6286,0,1.6862,8.2686,0,12.4846,7.7,7.041,0,12.3402,0,0,0,7.1048,0,0,0,0,4.195,0,0,10.352,0,11.617,0,0,2.3976,1.7542,9.3738
10.7722,0,7.0624,0,0,0,0,0,0,0,0,0,0,0,0.0626,0,0,0,0,0,0,10.1,1.043,0,0,0,0,3.6418,0,2.7316,0,0,2.9848,0.5834,1.6686,0,0,3.5108,4.4042,0
0,0,0,0,1.8536,7.773,0.1462,2.4114,0,0,0,0,0,0,0,0,0,0,9.116,1.6334,2.7422,0,5.2858,1.4358,0,4.2094,4.967,0,0,1.8732,0,0,9.714,5.5928,0,0,0,3.0988,0,3.1644
0,0,13.4436,0,0,0,0,3.8914,0,0,0,0,0,0,0,2.4442,0,0,0,0,3.7422,0,7.009,0,4.1142,5.3624,0,0,0,0,0,0,0,0,0,9.918,0,0,0,0
0,4.8916,0,2.7192,0,0,1.7872,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,1.8606,0,3.4312,0,0.3856,0,0,1.3448,0,0,0,0,0,0,0,0,0
0.8056,0,3.775,0,0,0,1.3062,0,0,0,0.4688,0,0,0,2.4276,0,0,0,3.109,0,0,0,4.8678,0,2.0356,0,0,0,0,0,0,2.1912,2.3468,0,0,0.505,4.1744,0,0,3.5832
0,0,0,0,0,0,0,0,1.761,0,1.0224,0.4144,0,0,0,0,0,0,0,0,0,0,0,7.041,0,0,0,0,0,0,0.568,0,0,0,0,4.4918,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.2022,0,0,0,1.677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6814,0.4524
7.5888,4.7334,0,8.1618,0,0,4,0.5856,5.3806,4.054,2.1276,0,0,0,19.1862,0.8788,9.3096,5.9564,2.7068,1.198,0,0,0,0,0,0,0,2.1662,0,1.6206,0,0,0,0,0,1.4788,0,0,0,0
24.2222,0,22.0062,0,0,6.6606,0,0,1.9068,0.162,0,13.788,0,0,8.451,0,12.523,7.3438,11.2704,6.0624,0.8742,0,0,0,5.5618,0,0,0,0,0,0,1.2754,18.1064,2.219,1.8144,0,7.2514,0.2024,0,18.7
1.6388,2.6,0,1.9168,3.8232,0,0,3.0686,0,0,0,6.1358,0,0.8166,0,0,0,1.9416,0,3,0,0,0,5.0804,0,3.572,4.9874,2.837,0,0.2476,0,0.2406,2.6886,2.7,0,3.8394,0,0,3.2272,0
6.75,3.6168,15.8686,0,0,3.1708,0,0,1.8856,7.2248,5.0242,0,0,0,0,0,1.0136,0,2.0976,4.1292,0,9.4928,0,0,0,3.0376,2.1874,2.816,0,3.0514,0,0.1884,7.6356,0,3.4572,0.6426,0,0,0,6.6928
6.8056,4.6722,8.7874,9.346,8.0268,0,0,0,0,0,6.9742,0,1.6922,0,0,0,0,0,0,0.15,6.6578,7.0786,0.4624,4.8322,0,2.5374,0,6.3822,0,3.2708,0.516,0,0,0,0,0,0,0,0,0
0,0.2666,0,0,5.7446,0.6742,0,0,1.7894,0,0,5.8096,0,0,6.5216,0,0,0,0.7886,6.675,1.9774,0,0.766,2.625,0,2.0094,0,0,0,0,0.234,6.1274,0,2.3214,0,0,2.1258,0,0,0
5.7166,0,0,2.4,10.4126,0,0.4858,1.2256,5.6242,0,0,7.1166,3.6366,0,0,2.1712,0,0,0,0,0,18.9738,3.0446,3.2662,1.9024,6.0938,0,9.837,0,26.5756,1.0394,0,9.8632,2.6214,0,4.7804,0,0,0,0
1.2112,0,0,0,6.7768,0,3.2,0,1.063,0.2292,3.769,0,0,6.5334,7.7646,3.9038,0.0828,0,8.0296,0,2.7444,0,0,0,8.8358,0,0,1.2162,2.002,26.105,0,0,0,5.9666,6.4456,0,0.76,3.6722,0.4604,1.0738
8.0224,0,0,0,0,0,9.6284,0,0,0,0,0,0,3.7194,0,1.925,0,0.5146,0.975,0,2.1732,1.2858,1.1732,4.725,1.8738,0,0.2026,0,0,14.4218,0.6714,3.4144,2.8328,3.4238,0,0,0,0.3048,5.3124,0
0,0,5.4126,0,0,5.5686,6.3128,5.2314,2.191,0,0,1.1096,0,7.3556,15.8294,1.8634,14.0308,1.1354,11.6774,7.0124,0,0,0,0,9.9048,0,7.1544,4.063,0,12.1878,0,0,7.2482,4.8834,9.26,9.6066,0,6.306,2.8396,12.843
21.0388,0,9.1312,0,0,0,0,0,0,0,0,0,5.8328,0.8722,0,0,5.8404,2.1438,0.9432,0,0,5.4834,2.3108,0,3.4262,4.0562,5.2532,0,3.6076,8.9402,0,0.7884,9.0356,6.2762,0,8.3934,1.4286,5.4264,0,4.0952
0,8.3222,6.0314,0,0,0,0,0.3486,0,0,1.962,0,0,3.1028,0,0,0,0.0146,0,0.7082,0,0,0,6.816,0,0,1.2936,0,0,0,0,0,0,0,0,0,0,0,3.6978,0
1.15,7.6472,0,0,0.9322,0,0,5.0516,0,0,0,2.2048,4.6384,0,0,0,0,0,0,0,1.3732,7.369,3.0124,3.275,0,0,6.6632,0,0,0,0,2.7912,0.3722,0,0,0,0,0,1.677,0
0,3.3416,0,14.9168,9.7,0,0,0,0,0,2.4862,4.1214,0,5.2862,4.596,1.4328,0,0,0,13.1,0,0,1.5162,3.018,0,0.9376,0,1.2242,1.822,0,0,0,0,2.0476,0,0,0,4.0338,0,0
3.639,0,0,0,2.359,0,0,0,3.2932,0,0,0,0,0,0,0,0,0,0,0,7.101,5.4738,9.4232,0,0,0,0,0,0.7124,0,0,8.7188,7.1822,0,0.88,0,8.26,0,1.2374,0
0,0,0,6.5326,1.5572,0,1.8586,0,0,2.7108,0.031,0,0,0,0,4.6096,0,2.2834,0,0.5728,2.2762,1.6832,0,4.3088,0,0,0,11.6854,0,0,1.5178,0,0,0,0.8914,0,0,0,0.4626,0
15.9334,0,0,4.7978,0.534,7.9102,0,0,2.4964,0,0,0,0,2.9194,13.4256,1.4864,13.4058,0,9.7454,4.4272,0.5692,0,4.6554,0,0.662,0,5.524,0.3532,0,0,2.5984,3.9448,0,4.9118,4.9714,0,0,2.2326,0,5.6976
