cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.205882353,0,0,0,15.62650248,0,0,0.629302779,0,0,0,0,0,0,47.07980596,0,0,6.897284579,4.90688098,0,11.64545455,0,0,24.66325678,4.571949802,0,1.933559735,35.38427223,0,4.823089431,0,0,51.40681818,0,0,0,0,0,35.89728938,0
0,11.15568417,0,0,0,0,2.922606061,0,16.75691971,3.736393714,5.176173913,0,0,15.43148459,0,19.48202279,5.05934279,0,5.484893992,5.502968971,0,13.35439172,11.72278183,0,0,0,0.360923023,0,0,3.041926932,18.95327111,0,0,3.814735043,0,0,4.84668323,17.54578056,0,0
9.619411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.058622273,0,0,0,0,9.507826747,0,0,1.093676419,0,0,0,0,0,0,0,0,0,0,0,2.748161172,0
0,0,0,0,0,0,0,0.730151146,0,0,0.001438735,0,0,0,0,2.275447293,0,0,1.691370838,0,0,0.167377049,0.241017983,2.787083208,0,4.128253968,2.744583769,0,0,0,7.563609168,0,0,0,0,0,0,0,0,0
0.449915966,0,0,0,0,0,0,0,0,0,0.651067194,0,0,1.932698413,6.394221479,2.617612536,0,0.551410303,0,0,0,1.687566868,0,0,0,0,0,2.651569465,0,0,2.741879977,0,0,0,0,1.180257703,1.011850932,0,0,0
0.205882353,0,0,0,1.584422313,8.219118488,1.469313131,0,0,0,0.807667984,0,0,0,0,0,0,0.028682149,0,0,0,9.673554789,0,2.601616598,0,0,0,0,0,0,0,0,6.246767677,0,0,0,0.940968944,0,0,0
6.299915966,0,0,0,0,0,0,2.436684544,0,0,0,4.006487677,0,2.906498599,2.342217464,0,0,0,0,0,0,1.49377912,0,0,0,1.244119601,2.609010798,0,0,1.634803334,0,0,0,1.292222222,0,0,1.960795031,0,0.973274725,0
0,0,1.887387387,0,0,10.01731568,0,3.67905412,0,0.55835083,0,0.514259535,0,0,0,5.04408547,0,4.04268608,0,0,9.807727273,9.466678171,0,0.367674442,0.401329305,0,0,3.533268422,0,5.538634558,0,0,2.829040404,0,3.63941492,0,0,0.143530928,0,0.359721612
1.447478992,0,5.91027027,0,0,0,0,0,0,0,0,0,0,1.35697479,7.604995651,0,0,1.394807208,0,1.104929831,0,0,0,0,0,0,0,5.938379202,0,4.526253782,0,0,0,0.646803419,4.976626036,0,1.37242236,5.29783137,3.143238095,0.20206105
0,0,0,0,0,7.53077583,1.698676768,3.17476353,0,0,0,1.693317707,0,0,0,0,0,0,7.053262916,4.798524096,4.422727273,0.752191544,6.384131436,2.46864544,0,3.708246585,2.435910832,0,0,2.188783369,0,0,7.830707071,3.473931624,0.913339834,1.983663866,0.94626087,4.064502946,0,6.104630037
0,0,13.5218018,0,0,0,0,5.01534861,0,0,0,0,0,0,0,0,0,0,0,0,4.910454545,0,3.244580546,0,6.772502905,1.447515688,0,1.207314456,0,0,0,0,0,0,1.058000975,9.076170868,3.630484472,3.499136598,2.946168498,0
0,2.658182585,0,0.894959592,0,0,6.423424242,0,0,0,0,0,0,0,0,1.435407407,2.107635934,0.021331414,0,0,0,0,0,0,0,5.122628276,0,1.847694651,0,0,3.149003165,1.423030303,0.844191919,0,4.966611409,0,0,0.126956922,0,3.366559219
0,0,0,0.871731941,0,0,3.350323232,0,0,0,5.212853755,0,0,0,1.927668116,0,0.656799054,0,4.178300804,2.155518034,0,0,1.181821834,0,3.84945232,0,0,0,0,0,0.229719999,0,0.278131313,0,0,1.951756303,4.128819876,0,0,1.493147741
