cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40
1463.222,1097.069,1313.938,1389.663,1094.5,1031.011,1209.611,1101.671,1138.767,994.642,938.043,1133.679,1114.817,761.903,1109.029,1098.481,1281.856,1121.656,784.239,1005.323,889.711,899,796.759,1055.625,950.405,752.109,644.962,1194.306,1009.643,1128.591,847.473,1027.841,1142.418,814.857,766.271,1304.787,921.657,891.958,711.656,1130.44
1391.75,1050.847,1287.188,1379.899,1133.018,1019.798,1220.19,1116.886,1115.827,972.642,937.414,1110.214,1041.644,728.097,1151.961,1090.587,1252.346,1143.479,774.727,1008.542,898.041,854.964,777.455,1093.509,959.94,752.953,649.139,1236.484,991.105,1141.896,820.366,1009.087,1140.101,777.583,757.886,1282.902,881.271,872.145,748.51,1093.726
1414.25,1022.944,1289.719,1324.146,1083.732,997.382,1204.841,1100.871,1135.947,989.35,930.379,1120.155,953.058,745.028,1112.804,1073.394,1250.856,1112.25,788.557,971.073,903.938,834.726,787.562,1079.643,968.94,752.188,652.76,1191.282,967.533,1144.543,836.071,1001.449,1147.532,774.619,740.914,1279.082,888.686,898.506,715.885,1081.071
1344.556,1038.639,1284.406,1304.775,1047.152,942.236,1198.429,1112.843,1115.128,953.109,935.345,1093.119,913.837,771.222,1076.029,1074.529,1233.779,1115.271,815.511,1023.521,882.392,857.762,784.42,1090.143,920.274,731.172,647.279,1215.694,925.076,1139.628,833.375,950.145,1085,772.083,768.343,1249.459,857.486,884.596,723.938,1043.75
1368.389,1024.708,1313.688,1334.202,1046.402,993.382,1198.794,1073.357,1126.654,972.007,932.034,1073.75,879.692,729.764,1065.961,1106.856,1211.942,1099.969,763.955,983.635,862.649,900.988,780.268,1090.67,960.56,708.531,623.456,1209.282,948.105,1126.835,837.071,950.652,1069.253,746.286,765.243,1258.262,882.943,877.542,716.208,1016.595
1259.306,1007.403,1234.562,1314.584,1034.071,911.944,1160.056,1067.6,1076.12,917.65,914.647,1023.155,840.721,728.694,1016.196,1080.423,1126.894,1037.948,723.42,962.708,792.526,868.25,771.768,1114.205,863.131,737.062,643.228,1198.532,919.7,1108.177,802.884,916.58,1006.291,755.048,699.286,1217.492,829.586,848.205,693.427,959.929
1280.611,996.514,1220.25,1314.933,1068.491,984.034,1187.103,1088.214,1108.82,947.285,914.103,1067.107,804.163,736.167,1086.765,1073.24,1210.413,1108.344,807.364,964.646,847.381,801.536,754.464,1089.116,912.5,732.172,649.127,1191.21,935.738,1104.171,852.098,933.986,1058.532,747.738,721.6,1243.213,854.814,855.494,681.594,1033.964
1364.556,963.542,1294.281,1248.764,1021.125,941.798,1150.206,1088.414,1113.353,927.591,925.043,1065.262,805.413,739.417,1082.108,1096.923,1228.76,1095.104,734.5,960.885,819.433,862.167,719.232,1080.446,911.548,668.062,603.481,1219.516,909.081,1122.079,831.964,924.377,1056.177,739.643,719.586,1265.984,872.786,848.994,701.146,991.095
1301.722,950.528,1225.938,1293.775,1043.786,980.247,1187.73,1059.086,1112.038,942.759,928.241,1073.286,776.894,779.722,1070.275,1051.962,1167.558,1100.021,778.625,973.552,803.052,870.226,739.714,1082.321,896.417,689.438,657.089,1173.04,905.5,1109.555,820.786,930.797,1114.418,780.071,758.914,1176.508,866.143,856.59,704.719,1015.107
1388.25,912.028,1276.531,1241.685,1036.741,948.876,1158.024,1082.529,1105.353,920.927,912.716,1075.726,800.865,734.75,1070.99,1061.462,1175.029,1056.385,758.045,970.646,822.649,907.119,765.259,1088.429,934.655,709.141,637.304,1169.766,912.648,1128.341,785.062,916.246,1076.392,756.25,725.386,1226.738,878.1,848.337,717.583,981.881
1285.611,974.125,1225.625,1263.517,1031.518,976.483,1146.929,1096.8,1084.286,932.803,883.19,1071.298,738.913,737.125,1057.539,1063.529,1189.317,1076.448,758.625,962.042,854.227,855.631,738.143,1105.625,898.655,690.953,615.785,1190.548,898.871,1129.152,795.58,886.638,1058.051,721.988,757.371,1186.475,826.771,860.193,702.198,1006.798
1334.472,940.153,1255.562,1241.663,1017.411,937.303,1147.016,1083.557,1070.917,918.912,885.664,1052.94,740.433,726.028,1087.078,1063.135,1193.462,1097.594,772.75,957.99,818.907,852.036,759.679,1054.143,911.964,706.906,631.304,1209.419,878.933,1117.829,788.696,898.42,1073.456,750.655,729.943,1207.361,846.486,873.048,703.615,1020.524
1317.75,948.361,1221.625,1243.641,1030.393,980.663,1150.937,1100.471,1087.248,922.409,906.336,1064.56,750.74,711.861,1068.627,1041.567,1198.606,1075.583,780.08,969.052,833.144,838.655,745.661,1087.625,902.774,689.109,628.316,1138.194,902.367,1131.445,802.741,907.319,1104.747,767.607,716.257,1261.508,866.871,864.488,667.885,1006.917
1293.778,895.611,1293.156,1213.135,1019.929,953.539,1136.302,1078.543,1061.774,898.431,907.5,1051.083,726.269,711.958,949.902,1064.183,1135.529,1069.885,720.432,945.25,821.763,860.964,774.759,1069.527,916.988,716.25,625.405,1170.653,889.548,1091.488,781.518,905.681,1080.418,733.44,723.257,1226.098,864.643,852.253,698.958,1000.512
1197.667,936.486,1115.031,1255.281,1002.741,919.517,1166.96,1040.1,1055.383,902.526,897.25,980.917,732.702,697.472,1024.578,1067.462,1117.529,1031.323,731.182,925.021,798.289,833.738,747.545,1097.732,859.31,726.297,627.354,1171.694,890.267,1092.896,791.786,903.768,979.772,731.429,719.814,1177.984,799.729,844.795,686.25,932.167
