Points0,Points1,Points2,,intensity,filtered,timeframe,cell,kmeans
94,70.9,0,,1463.222,-1,1,1,1
174,70.9,8,,1097.069,-1,1,2,1
97,70.9,5,,1313.938,-1,1,3,1
103,70.9,27,,1389.663,-1,1,4,1
143,70.9,50,,1094.5,-1,1,5,1
163,70.9,70,,1031.011,-1,1,6,1
162,70.9,95,,1209.611,-1,1,7,1
138,70.9,110,,1101.671,-1,1,8,2
107,70.9,117,,1138.767,-1,1,9,2
97,70.9,104,,994.642,-1,1,10,3
114,70.9,93,,938.043,-1,1,11,1
121,70.9,75,,1133.679,-1,1,12,1
178,70.9,153,,1114.817,-1,1,13,1
148,70.9,176,,761.903,-1,1,14,1
7,70.9,178,,1109.029,-1,1,15,1
2,70.9,168,,1098.481,-1,1,16,1
17,70.9,116,,1281.856,-1,1,17,2
31,70.9,41,,1121.656,-1,1,18,0
116,70.9,146,,784.239,-1,1,19,1
118,70.9,17,,1005.323,-1,1,20,2
149,70.9,38,,889.711,-1,1,21,2
194,70.9,154,,899,-1,1,22,1
55,70.9,167,,796.759,-1,1,23,2
59,70.9,96,,1055.625,-1,1,24,1
83,70.9,119,,950.405,-1,1,25,2
111,70.9,175,,752.109,-1,1,26,1
81,70.9,156,,644.962,-1,1,27,0
97,70.9,59,,1194.306,-1,1,28,1
27,70.9,142,,1009.643,-1,1,29,1
80,70.9,66,,1128.591,-1,1,30,1
70,70.9,124,,847.473,-1,1,31,2
61,70.9,26,,1027.841,-1,1,32,1
139,70.9,58,,1142.418,-1,1,33,0
137,70.9,163,,814.857,-1,1,34,1
169,70.9,131,,766.271,-1,1,35,0
0,70.9,127,,1304.787,-1,1,36,1
68,70.9,66,,921.657,-1,1,37,1
52,70.9,144,,891.958,-1,1,38,1
183,70.9,94,,711.656,-1,1,39,1
57,70.9,61,,1130.44,-1,1,40,3
94,70.7,0,,1391.75,-1,2,1,0
174,70.7,8,,1050.847,-1,2,2,0
97,70.7,5,,1287.188,-1,2,3,1
103,70.7,27,,1379.899,-1,2,4,0
143,70.7,50,,1133.018,-1,2,5,1
163,70.7,70,,1019.798,-1,2,6,1
162,70.7,95,,1220.19,-1,2,7,1
138,70.7,110,,1116.886,-1,2,8,1
107,70.7,117,,1115.827,-1,2,9,1
97,70.7,104,,972.642,-1,2,10,1
114,70.7,93,,937.414,-1,2,11,2
121,70.7,75,,1110.214,-1,2,12,3
178,70.7,153,,1041.644,-1,2,13,0
148,70.7,176,,728.097,-1,2,14,3
7,70.7,178,,1151.961,-1,2,15,4
2,70.7,168,,1090.587,-1,2,16,1
17,70.7,116,,1252.346,-1,2,17,1
31,70.7,41,,1143.479,-1,2,18,1
116,70.7,146,,774.727,-1,2,19,1
118,70.7,17,,1008.542,-1,2,20,1
149,70.7,38,,898.041,-1,2,21,2
194,70.7,154,,854.964,-1,2,22,1
55,70.7,167,,777.455,-1,2,23,3
59,70.7,96,,1093.509,-1,2,24,1
83,70.7,119,,959.94,-1,2,25,1
111,70.7,175,,752.953,-1,2,26,2
81,70.7,156,,649.139,-1,2,27,3
97,70.7,59,,1236.484,-1,2,28,3
27,70.7,142,,991.105,-1,2,29,3
80,70.7,66,,1141.896,-1,2,30,0
70,70.7,124,,820.366,-1,2,31,1
61,70.7,26,,1009.087,-1,2,32,1
139,70.7,58,,1140.101,-1,2,33,1
137,70.7,163,,777.583,-1,2,34,1
169,70.7,131,,757.886,-1,2,35,1
0,70.7,127,,1282.902,-1,2,36,3
68,70.7,66,,881.271,-1,2,37,1
52,70.7,144,,872.145,-1,2,38,0
183,70.7,94,,748.51,-1,2,39,3
57,70.7,61,,1093.726,-1,2,40,1
94,70.5,0,,1396.4334,-1,3,1,1
174,70.5,8,,1046.8414,-1,3,2,1
97,70.5,5,,1297.7878,-1,3,3,3
103,70.5,27,,1346.537,-1,3,4,1
143,70.5,50,,1080.9608,-1,3,5,0
163,70.5,70,,996.7618,-1,3,6,1
162,70.5,95,,1206.373,-1,3,7,1
138,70.5,110,,1101.1256,-1,3,8,1
107,70.5,117,,1126.4646,-1,3,9,2
97,70.5,104,,976.35,-1,3,10,1
114,70.5,93,,934.643,-1,3,11,3
121,70.5,75,,1106.1834,-1,3,12,2
178,70.5,153,,980.6096,-1,3,13,3
148,70.5,176,,747.2028,-1,3,14,1
7,70.5,178,,1103.1568,-1,3,15,1
2,70.5,168,,1088.7694,-1,3,16,2
17,70.5,116,,1246.1558,-1,3,17,1
31,70.5,41,,1118.525,-1,3,18,2
116,70.5,146,,785.3978,-1,3,19,1
118,70.5,17,,998.4188,-1,3,20,0
149,70.5,38,,887.3462,-1,3,21,1
194,70.5,154,,869.488,-1,3,22,1
55,70.5,167,,785.2928,-1,3,23,1
59,70.5,96,,1081.918,-1,3,24,1
83,70.5,119,,952.0238,-1,3,25,1
111,70.5,175,,739.3906,-1,3,26,3
81,70.5,156,,643.5192,-1,3,27,1
97,70.5,59,,1209.4096,-1,3,28,4
27,70.5,142,,968.2924,-1,3,29,1
80,70.5,66,,1136.2986,-1,3,30,1
70,70.5,124,,834.8712,-1,3,31,1
61,70.5,26,,987.8348,-1,3,32,1
139,70.5,58,,1116.8608,-1,3,33,1
137,70.5,163,,777.0856,-1,3,34,2
169,70.5,131,,759.7314,-1,3,35,4
0,70.5,127,,1274.8984,-1,3,36,3
68,70.5,66,,886.4086,-1,3,37,0
52,70.5,144,,884.9494,-1,3,38,1
183,70.5,94,,723.2394,-1,3,39,1
57,70.5,61,,1073.1164,-1,3,40,1
94,70.3,0,,1355.6502,0,4,1,3
174,70.3,8,,1028.9082,0,4,2,1
97,70.3,5,,1281.9126,0,4,3,0
103,70.3,27,,1331.5212,0,4,4,3
143,70.3,50,,1068.875,0,4,5,0
163,70.3,70,,972.9484,0,4,6,1
162,70.3,95,,1196.462,0,4,7,1
138,70.3,110,,1094.3114,0,4,8,1
107,70.3,117,,1113.9352,0,4,9,1
97,70.3,104,,960.9516,0,4,10,2
114,70.3,93,,929.9638,0,4,11,1
121,70.3,75,,1084.0786,0,4,12,4
178,70.3,153,,925.7904,0,4,13,1
148,70.3,176,,740.561,0,4,14,3
7,70.3,178,,1084.5902,0,4,15,1
2,70.3,168,,1085.1578,0,4,16,2
17,70.3,116,,1215.1634,0,4,17,1
31,70.3,41,,1101.7834,0,4,18,3
116,70.3,146,,773.234,0,4,19,1
118,70.3,17,,989.8958,0,4,20,1
149,70.3,38,,867.9092,0,4,21,1
194,70.3,154,,863.338,0,4,22,1
55,70.3,167,,780.2946,0,4,23,1
59,70.3,96,,1093.634,11.716,4,24,1
83,70.3,119,,934.569,0,4,25,3
111,70.3,175,,736.3812,0,4,26,1
81,70.3,156,,643.1724,0,4,27,3
97,70.3,59,,1210.2548,0.8452,4,28,2
27,70.3,142,,950.3038,0,4,29,0
80,70.3,66,,1132.2158,0,4,30,3
70,70.3,124,,825.9534,0,4,31,2
61,70.3,26,,965.5826,0,4,32,1
139,70.3,58,,1089.6354,0,4,33,1
137,70.3,163,,765.1238,0,4,34,1
169,70.3,131,,746.3344,0,4,35,1
0,70.3,127,,1257.4394,0,4,36,2
68,70.3,66,,867.9944,0,4,37,1
52,70.3,144,,876.1988,0,4,38,1
183,70.3,94,,719.5936,0,4,39,0
57,70.3,61,,1039.0142,0,4,40,2
94,70.1,0,,1333.4224,0,5,1,2
174,70.1,8,,1018.0416,0,5,2,3
97,70.1,5,,1268.525,0,5,3,1
103,70.1,27,,1318.528,0,5,4,1
143,70.1,50,,1055.9696,0,5,5,1
