Points0,Points1,Points2,,intensity,filtered,timeframe,cell
94,30,0,,1463.222,-1,1,1
174,30,8,,1097.069,-1,1,2
97,30,5,,1313.938,-1,1,3
103,30,27,,1389.663,-1,1,4
143,30,50,,1094.5,-1,1,5
163,30,70,,1031.011,-1,1,6
162,30,95,,1209.611,-1,1,7
138,30,110,,1101.671,-1,1,8
107,30,117,,1138.767,-1,1,9
97,30,104,,994.642,-1,1,10
114,30,93,,938.043,-1,1,11
121,30,75,,1133.679,-1,1,12
178,30,153,,1114.817,-1,1,13
148,30,176,,761.903,-1,1,14
7,30,178,,1109.029,-1,1,15
2,30,168,,1098.481,-1,1,16
17,30,116,,1281.856,-1,1,17
31,30,41,,1121.656,-1,1,18
116,30,146,,784.239,-1,1,19
118,30,17,,1005.323,-1,1,20
149,30,38,,889.711,-1,1,21
194,30,154,,899,-1,1,22
55,30,167,,796.759,-1,1,23
59,30,96,,1055.625,-1,1,24
83,30,119,,950.405,-1,1,25
111,30,175,,752.109,-1,1,26
81,30,156,,644.962,-1,1,27
97,30,59,,1194.306,-1,1,28
27,30,142,,1009.643,-1,1,29
80,30,66,,1128.591,-1,1,30
70,30,124,,847.473,-1,1,31
61,30,26,,1027.841,-1,1,32
139,30,58,,1142.418,-1,1,33
137,30,163,,814.857,-1,1,34
169,30,131,,766.271,-1,1,35
0,30,127,,1304.787,-1,1,36
68,30,66,,921.657,-1,1,37
52,30,144,,891.958,-1,1,38
183,30,94,,711.656,-1,1,39
57,30,61,,1130.44,-1,1,40
94,29.91537377,0,,1391.75,-1,2,1
174,29.91537377,8,,1050.847,-1,2,2
97,29.91537377,5,,1287.188,-1,2,3
103,29.91537377,27,,1379.899,-1,2,4
143,29.91537377,50,,1133.018,-1,2,5
163,29.91537377,70,,1019.798,-1,2,6
162,29.91537377,95,,1220.19,-1,2,7
138,29.91537377,110,,1116.886,-1,2,8
107,29.91537377,117,,1115.827,-1,2,9
97,29.91537377,104,,972.642,-1,2,10
114,29.91537377,93,,937.414,-1,2,11
121,29.91537377,75,,1110.214,-1,2,12
178,29.91537377,153,,1041.644,-1,2,13
148,29.91537377,176,,728.097,-1,2,14
7,29.91537377,178,,1151.961,-1,2,15
2,29.91537377,168,,1090.587,-1,2,16
17,29.91537377,116,,1252.346,-1,2,17
31,29.91537377,41,,1143.479,-1,2,18
116,29.91537377,146,,774.727,-1,2,19
118,29.91537377,17,,1008.542,-1,2,20
149,29.91537377,38,,898.041,-1,2,21
194,29.91537377,154,,854.964,-1,2,22
55,29.91537377,167,,777.455,-1,2,23
59,29.91537377,96,,1093.509,-1,2,24
83,29.91537377,119,,959.94,-1,2,25
111,29.91537377,175,,752.953,-1,2,26
81,29.91537377,156,,649.139,-1,2,27
97,29.91537377,59,,1236.484,-1,2,28
27,29.91537377,142,,991.105,-1,2,29
80,29.91537377,66,,1141.896,-1,2,30
70,29.91537377,124,,820.366,-1,2,31
61,29.91537377,26,,1009.087,-1,2,32
139,29.91537377,58,,1140.101,-1,2,33
137,29.91537377,163,,777.583,-1,2,34
169,29.91537377,131,,757.886,-1,2,35
0,29.91537377,127,,1282.902,-1,2,36
68,29.91537377,66,,881.271,-1,2,37
52,29.91537377,144,,872.145,-1,2,38
183,29.91537377,94,,748.51,-1,2,39
57,29.91537377,61,,1093.726,-1,2,40
94,29.83074753,0,,1396.4334,-1,3,1
174,29.83074753,8,,1046.8414,-1,3,2
97,29.83074753,5,,1297.7878,-1,3,3
103,29.83074753,27,,1346.537,-1,3,4
143,29.83074753,50,,1080.9608,-1,3,5
163,29.83074753,70,,996.7618,-1,3,6
162,29.83074753,95,,1206.373,-1,3,7
138,29.83074753,110,,1101.1256,-1,3,8
107,29.83074753,117,,1126.4646,-1,3,9
97,29.83074753,104,,976.35,-1,3,10
114,29.83074753,93,,934.643,-1,3,11
121,29.83074753,75,,1106.1834,-1,3,12
178,29.83074753,153,,980.6096,-1,3,13
148,29.83074753,176,,747.2028,-1,3,14
7,29.83074753,178,,1103.1568,-1,3,15
2,29.83074753,168,,1088.7694,-1,3,16
17,29.83074753,116,,1246.1558,-1,3,17
31,29.83074753,41,,1118.525,-1,3,18
116,29.83074753,146,,785.3978,-1,3,19
118,29.83074753,17,,998.4188,-1,3,20
149,29.83074753,38,,887.3462,-1,3,21
194,29.83074753,154,,869.488,-1,3,22
55,29.83074753,167,,785.2928,-1,3,23
59,29.83074753,96,,1081.918,-1,3,24
83,29.83074753,119,,952.0238,-1,3,25
111,29.83074753,175,,739.3906,-1,3,26
81,29.83074753,156,,643.5192,-1,3,27
97,29.83074753,59,,1209.4096,-1,3,28
27,29.83074753,142,,968.2924,-1,3,29
80,29.83074753,66,,1136.2986,-1,3,30
70,29.83074753,124,,834.8712,-1,3,31
61,29.83074753,26,,987.8348,-1,3,32
139,29.83074753,58,,1116.8608,-1,3,33
137,29.83074753,163,,777.0856,-1,3,34
169,29.83074753,131,,759.7314,-1,3,35
0,29.83074753,127,,1274.8984,-1,3,36
68,29.83074753,66,,886.4086,-1,3,37
52,29.83074753,144,,884.9494,-1,3,38
183,29.83074753,94,,723.2394,-1,3,39
57,29.83074753,61,,1073.1164,-1,3,40
94,29.7461213,0,,1355.6502,0,4,1
174,29.7461213,8,,1028.9082,0,4,2
97,29.7461213,5,,1281.9126,0,4,3
103,29.7461213,27,,1331.5212,0,4,4
143,29.7461213,50,,1068.875,0,4,5
163,29.7461213,70,,972.9484,0,4,6
162,29.7461213,95,,1196.462,0,4,7
138,29.7461213,110,,1094.3114,0,4,8
107,29.7461213,117,,1113.9352,0,4,9
97,29.7461213,104,,960.9516,0,4,10
114,29.7461213,93,,929.9638,0,4,11
121,29.7461213,75,,1084.0786,0,4,12
178,29.7461213,153,,925.7904,0,4,13
148,29.7461213,176,,740.561,0,4,14
7,29.7461213,178,,1084.5902,0,4,15
2,29.7461213,168,,1085.1578,0,4,16
17,29.7461213,116,,1215.1634,0,4,17
31,29.7461213,41,,1101.7834,0,4,18
116,29.7461213,146,,773.234,0,4,19
118,29.7461213,17,,989.8958,0,4,20
149,29.7461213,38,,867.9092,0,4,21
194,29.7461213,154,,863.338,0,4,22
55,29.7461213,167,,780.2946,0,4,23
59,29.7461213,96,,1093.634,11.716,4,24
83,29.7461213,119,,934.569,0,4,25
111,29.7461213,175,,736.3812,0,4,26
81,29.7461213,156,,643.1724,0,4,27
97,29.7461213,59,,1210.2548,0.8452,4,28
27,29.7461213,142,,950.3038,0,4,29
80,29.7461213,66,,1132.2158,0,4,30
70,29.7461213,124,,825.9534,0,4,31
61,29.7461213,26,,965.5826,0,4,32
139,29.7461213,58,,1089.6354,0,4,33
137,29.7461213,163,,765.1238,0,4,34
169,29.7461213,131,,746.3344,0,4,35
0,29.7461213,127,,1257.4394,0,4,36
68,29.7461213,66,,867.9944,0,4,37
