Points0,Points1,Points2,,intensity,filtered
94,400,0,,1463.222,-1
174,400,8,,1097.069,-1
97,400,5,,1313.938,-1
103,400,27,,1389.663,-1
143,400,50,,1094.5,-1
163,400,70,,1031.011,-1
162,400,95,,1209.611,-1
138,400,110,,1101.671,-1
107,400,117,,1138.767,-1
97,400,104,,994.642,-1
114,400,93,,938.043,-1
121,400,75,,1133.679,-1
178,400,153,,1114.817,-1
148,400,176,,761.903,-1
7,400,178,,1109.029,-1
2,400,168,,1098.481,-1
17,400,116,,1281.856,-1
31,400,41,,1121.656,-1
116,400,146,,784.239,-1
118,400,17,,1005.323,-1
149,400,38,,889.711,-1
194,400,154,,899,-1
55,400,167,,796.759,-1
59,400,96,,1055.625,-1
83,400,119,,950.405,-1
111,400,175,,752.109,-1
81,400,156,,644.962,-1
97,400,59,,1194.306,-1
27,400,142,,1009.643,-1
80,400,66,,1128.591,-1
70,400,124,,847.473,-1
61,400,26,,1027.841,-1
139,400,58,,1142.418,-1
137,400,163,,814.857,-1
169,400,131,,766.271,-1
0,400,127,,1304.787,-1
68,400,66,,921.657,-1
52,400,144,,891.958,-1
183,400,94,,711.656,-1
57,400,61,,1130.44,-1
94,398.8716502,0,,1391.75,-1
174,398.8716502,8,,1050.847,-1
97,398.8716502,5,,1287.188,-1
103,398.8716502,27,,1379.899,-1
143,398.8716502,50,,1133.018,-1
163,398.8716502,70,,1019.798,-1
162,398.8716502,95,,1220.19,-1
138,398.8716502,110,,1116.886,-1
107,398.8716502,117,,1115.827,-1
97,398.8716502,104,,972.642,-1
114,398.8716502,93,,937.414,-1
121,398.8716502,75,,1110.214,-1
178,398.8716502,153,,1041.644,-1
148,398.8716502,176,,728.097,-1
7,398.8716502,178,,1151.961,-1
2,398.8716502,168,,1090.587,-1
17,398.8716502,116,,1252.346,-1
31,398.8716502,41,,1143.479,-1
116,398.8716502,146,,774.727,-1
118,398.8716502,17,,1008.542,-1
149,398.8716502,38,,898.041,-1
194,398.8716502,154,,854.964,-1
55,398.8716502,167,,777.455,-1
59,398.8716502,96,,1093.509,-1
83,398.8716502,119,,959.94,-1
111,398.8716502,175,,752.953,-1
81,398.8716502,156,,649.139,-1
97,398.8716502,59,,1236.484,-1
27,398.8716502,142,,991.105,-1
80,398.8716502,66,,1141.896,-1
70,398.8716502,124,,820.366,-1
61,398.8716502,26,,1009.087,-1
139,398.8716502,58,,1140.101,-1
137,398.8716502,163,,777.583,-1
169,398.8716502,131,,757.886,-1
0,398.8716502,127,,1282.902,-1
68,398.8716502,66,,881.271,-1
52,398.8716502,144,,872.145,-1
183,398.8716502,94,,748.51,-1
57,398.8716502,61,,1093.726,-1
94,397.7433004,0,,1396.4334,-1
174,397.7433004,8,,1046.8414,-1
97,397.7433004,5,,1297.7878,-1
103,397.7433004,27,,1346.537,-1
143,397.7433004,50,,1080.9608,-1
163,397.7433004,70,,996.7618,-1
162,397.7433004,95,,1206.373,-1
138,397.7433004,110,,1101.1256,-1
107,397.7433004,117,,1126.4646,-1
97,397.7433004,104,,976.35,-1
114,397.7433004,93,,934.643,-1
121,397.7433004,75,,1106.1834,-1
178,397.7433004,153,,980.6096,-1
148,397.7433004,176,,747.2028,-1
7,397.7433004,178,,1103.1568,-1
2,397.7433004,168,,1088.7694,-1
17,397.7433004,116,,1246.1558,-1
31,397.7433004,41,,1118.525,-1
116,397.7433004,146,,785.3978,-1
118,397.7433004,17,,998.4188,-1
149,397.7433004,38,,887.3462,-1
194,397.7433004,154,,869.488,-1
55,397.7433004,167,,785.2928,-1
59,397.7433004,96,,1081.918,-1
83,397.7433004,119,,952.0238,-1
111,397.7433004,175,,739.3906,-1
81,397.7433004,156,,643.5192,-1
97,397.7433004,59,,1209.4096,-1
27,397.7433004,142,,968.2924,-1
80,397.7433004,66,,1136.2986,-1
70,397.7433004,124,,834.8712,-1
61,397.7433004,26,,987.8348,-1
139,397.7433004,58,,1116.8608,-1
137,397.7433004,163,,777.0856,-1
169,397.7433004,131,,759.7314,-1
0,397.7433004,127,,1274.8984,-1
68,397.7433004,66,,886.4086,-1
52,397.7433004,144,,884.9494,-1
183,397.7433004,94,,723.2394,-1
57,397.7433004,61,,1073.1164,-1
94,396.6149506,0,,1355.6502,0
174,396.6149506,8,,1028.9082,0
97,396.6149506,5,,1281.9126,0
103,396.6149506,27,,1331.5212,0
143,396.6149506,50,,1068.875,0
163,396.6149506,70,,972.9484,0
162,396.6149506,95,,1196.462,0
138,396.6149506,110,,1094.3114,0
107,396.6149506,117,,1113.9352,0
97,396.6149506,104,,960.9516,0
114,396.6149506,93,,929.9638,0
121,396.6149506,75,,1084.0786,0
178,396.6149506,153,,925.7904,0
148,396.6149506,176,,740.561,0
7,396.6149506,178,,1084.5902,0
2,396.6149506,168,,1085.1578,0
17,396.6149506,116,,1215.1634,0
31,396.6149506,41,,1101.7834,0
116,396.6149506,146,,773.234,0
118,396.6149506,17,,989.8958,0
149,396.6149506,38,,867.9092,0
194,396.6149506,154,,863.338,0
55,396.6149506,167,,780.2946,0
59,396.6149506,96,,1093.634,11.716
83,396.6149506,119,,934.569,0
111,396.6149506,175,,736.3812,0
81,396.6149506,156,,643.1724,0
