Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,Cell 16,Cell 17,Cell 18,Cell 19,Cell 20,Cell 21,Cell 22,Cell 23,Cell 24,Cell 25,Cell 26,Cell 27,Cell 28,Cell 29,Cell 30,Cell 31,Cell 32,Cell 33,Cell 34,Cell 35,Cell 36,Cell 37,Cell 38,Cell 39,Cell 40,Cell 41,Cell 42,Cell 43,Cell 44,Cell 45,Cell 46,Cell 47,Cell 48,Cell 49,Cell 50,Cell 51,Cell 52,Cell 53,Cell 54,Cell 55,Cell 56,Cell 57,Cell 58,Cell 59,Cell 60,Cell 61,Cell 62,Cell 63,Cell 64,Cell 65,Cell 66,Cell 67,Cell 68,Cell 69,Cell 70,Cell 71,Cell 72,Cell 73,Cell 74,Cell 75,Cell 76,Cell 77,Cell 78,Cell 79,Cell 80,Cell 81,Cell 82,Cell 83,Cell 84,Cell 85,Cell 86,Cell 87,Cell 88,Cell 89,Cell 90,Cell 91,Cell 92,Cell 93,Cell 94,Cell 95,Cell 96,Cell 97,Cell 98,Cell 99,Cell 100,Cell 101,Cell 102,Cell 103,Cell 104,Cell 105,Cell 106,Cell 107,Cell 108,Cell 109,Cell 110
-0.29651,0.3939,-0.51226,-0.17399,1.32605,-0.10718,2.00892,-0.07634,-1.88961,1.25067,-0.33827,-0.09445,-0.14583,-0.51443,0.53817,0.48089,-0.53574,-0.60402,0.0532,0.36782,0.96733,0.20943,-0.74188,-0.89741,-0.71311,-0.49069,0.44494,-0.40473,1.3537,-1.00182,1.21671,0.27554,2.53418,0.34659,1.40776,1.36678,1.77706,0.99497,-0.84161,-1.25223,-0.49337,1,1.28126,1.43107,0.96933,-1.56442,-1.70748,0.66008,3.11108,0.33472,-1.05753,-0.25856,0.9812,1.45507,-0.18031,1.07339,1.68382,-1.84473,-0.5834,0.55359,0.74742,-1.06516,1.25578,-0.38238,0.38783,0.89004,-1.15432,1.80894,1.13768,0.27857,0.54155,0.93935,1.85911,0.75496,1.62326,0.38835,3.49597,-1.52205,5.29945,-0.68469,0.17997,-0.55879,3.4893,1.17096,-1.77246,2.25284,0.31566,0.78693,0.03899,0.11671,0.0279,-0.69907,0.23178,-0.91803,0.70652,1.97141,-0.40898,0.13933,-0.76605,0.27129,-0.63409,-0.86448,2.53687,4.11204,1.32294,-1.86353,3.94281,-2.43298,2.26982,0.84854
-0.3229,0.24872,-0.45989,-0.14056,1.05562,-0.08027,1.57898,0.06577,-1.43789,1.23792,-0.13896,-0.17659,-0.04773,-0.33956,0.46645,0.45623,-0.26257,-0.36176,0.08361,0.41769,0.82416,0.1725,-0.5803,-0.64719,-0.69184,-0.3272,0.53226,-0.26595,1.14865,-0.77188,0.98736,0.5279,1.9802,0.39736,1.13396,1.13832,1.49051,0.92626,-0.63845,-1.01624,-0.45239,1,1.27005,0.82687,0.98734,-0.8842,-0.8925,0.60232,2.66319,0.54923,-0.90818,-0.48585,0.36879,1.40179,-0.12222,0.75303,1.28582,-1.47569,-0.31235,0.36328,0.30723,-0.75592,0.94703,-0.31166,0.17744,0.94554,-0.82175,1.47756,0.82099,0.36071,0.58349,0.86394,1.65795,0.77741,1.32439,0.51365,2.84007,-1.22162,4.36076,-0.33175,0.17431,-0.06562,2.85675,1.07095,-1.01699,2.13354,0.31231,0.60977,0.04559,0.14195,0.09919,-0.50019,0.15865,-0.71476,0.60352,1.66412,-0.47856,0.17083,-0.54214,0.39449,-0.34786,-0.38949,2.09044,3.61683,0.96806,-1.41295,3.34759,-2.11846,1.9204,0.72012
-0.28999,0.05591,-0.31396,-4.24E-04,0.51823,0.03834,0.83301,0.30062,-0.65504,1.14421,0.26415,-0.26962,0.10819,-0.06224,0.2658,0.40239,0.1605,0.04457,0.0626,0.44056,0.54756,0.07532,-0.27492,-0.18051,-0.6198,-0.05417,0.61923,0.00875,0.71703,-0.35782,0.56311,0.88507,1.00573,0.41631,0.63523,0.69284,1.04831,0.72573,-0.28772,-0.55139,-0.27404,1,1.25734,-0.03277,0.89566,0.23228,0.32686,0.44497,1.82852,0.89109,-0.60461,-0.72743,-0.55357,1.21E+00,-0.01111,0.22184,0.58949,-0.83921,0.11832,0.12408,-0.32573,-0.24251,0.44905,-0.16205,-0.20292,0.96332,-0.16705,0.90583,0.29182,0.50397,0.59919,0.67497,1.25796,0.75927,0.77881,0.68132,1.65288,-0.63246,2.55738,0.22089,0.2153,0.59385,1.7063,0.89283,0.24815,1.82043,2.72E-01,0.34773,0.03746,0.15411,0.20447,-0.16747,0.05477,-0.31273,0.4074,1.04536,-0.48208,0.27678,-0.13142,0.60691,0.11687,0.32775,1.36249,2.55433,0.37736,-0.62046,2.15084,-1.41747,1.38281,0.47565
-0.1484,0.00429,-0.14064,0.22538,0.07918,0.25582,0.37357,0.40674,-0.18121,0.9638,0.66723,-0.18349,0.20693,0.08449,0.02985,0.34088,0.36093,0.26443,-0.06733,0.35296,0.34562,-0.03414,-0.03875,0.1563,-0.51363,0.09303,0.57168,0.2275,0.36833,-0.03174,0.27481,0.99568,0.37665,0.34297,0.28507,0.33708,0.86343,0.48444,-0.06745,-0.1518,0.03947,1,1.27552,-0.1871,0.63778,0.81898,0.7862,0.29499,1.21087,1.0355,-0.29461,-0.62856,-0.84863,0.97274,0.11512,-0.07791,0.12001,-0.43726,0.30638,0.11694,-0.51497,0.04356,0.18893,-0.02081,-0.43719,0.81483,0.41155,0.55675,-0.00355,0.6248,0.49143,0.48785,0.92913,0.6735,0.39537,0.71607,0.85823,-0.15216,1.12497,0.4921,0.36096,0.70308,0.93894,0.80898,0.94348,1.4446,0.19607,0.28115,0.00733,0.11679,0.22647,0.02289,0.02317,0.02783,0.28081,0.51385,-0.25858,0.45627,0.18932,0.78335,0.37437,0.64917,0.99624,1.54948,0.06593,-0.10039,1.11005,-0.67307,1.18901,0.30098
0.0226,7.04E-06,-0.00825,0.42552,-0.14657,0.52226,0.21024,0.35726,-0.02802,0.75183,1.03311,0.1016,0.29627,0.13497,-0.13081,0.26456,0.41142,0.30018,-0.19533,0.19745,0.24474,-0.10835,0.11449,0.32655,-0.37483,0.118,0.44317,0.31414,0.23591,0.25303,0.18603,0.94794,0.08978,0.27414,0.1122,0.12619,0.83919,0.30256,0.03058,0.14251,0.39829,1,1.30577,0.24396,0.3549,0.91902,0.71814,0.26249,0.84747,0.99131,0.04749,-0.33892,-0.57175,0.80434,0.29994,-0.20413,-0.13423,-0.23745,0.2732,0.21658,-0.39202,0.13146,0.09765,0.0747,-0.43276,0.54636,0.85185,0.42418,-0.08786,0.74145,0.31054,0.37551,0.7264,0.58207,0.19798,0.65468,0.53369,0.14099,0.2407,0.57238,0.56712,0.53425,0.63242,0.8428,1.08056,1.10062,0.09475,0.38364,-0.01983,0.07304,0.17117,0.08763,0.02404,0.24498,0.26202,0.16476,0.09206,0.67418,0.41204,0.93703,0.48595,0.77333,0.93266,0.82673,0.01102,0.12815,0.36922,0.01642,1.26919,0.2195
0.76677,-0.02483,0.29077,1.49486,-0.19965,2.47653,0.70975,0.27455,-0.30176,1.31146,3.76827,1.81584,1.23053,0.37062,-0.4165,0.30313,1.07194,0.46826,-0.5317,-0.2108,0.39579,-0.37946,0.70202,1.10964,-0.21256,0.12832,0.62114,0.47122,1.01942,1.78436,0.75963,2.12953,-0.09316,0.65451,0.21602,0.05635,2.27032,0.53835,0.19308,1.14232,2.38004,2.96213,3.54901,3.5059,0.20972,1.68185,0.87633,1.04832,1.50031,2.2091,1.7502,0.47573,1.13285,1.90101,1.83998,-0.95729,-0.60047,-0.28088,0.20219,0.8854,-0.09914,0.23911,0.15519,0.3087,-0.15431,0.39546,3.26879,1.33455,-0.07208,2.39484,0.23577,0.84587,1.69629,1.26844,0.32601,1.23691,1.49459,0.78044,-0.66011,1.58186,2.30274,0.97269,1.65518,2.73453,2.2058,2.1488,-0.31583,1.79095,-0.1565,0.09584,0.19038,0.22952,0.0135,0.91333,0.89865,-0.06128,1.58801,2.71656,1.62895,2.77024,1.53613,2.57534,2.769,0.97589,0.29931,0.38894,-0.65116,2.33599,4.45776,0.49861
0.26154,-0.02666,0.09617,0.88296,-0.41084,1.1386,0.32168,0.39605,-0.03007,0.68405,1.99974,0.72723,0.53033,0.1638,-0.36747,0.34956,0.55468,0.41845,-0.49011,0.01019,0.37164,-0.19955,0.29745,0.60346,-0.3907,0.11474,0.38865,0.4433,0.27869,0.71179,0.3498,1.21271,0.01204,0.29946,0.01764,-0.00265,1.26622,0.2438,0.09767,0.50018,1.0686,1.35237,1.92564,1.32416,0.06688,1.12485,0.65231,0.4884,1.00575,1.17379,0.43424,0.00324,-0.20802,1.02783,0.69596,-0.33657,-0.42919,-0.16265,0.11875,0.54015,-0.18758,0.13635,0.13768,0.15088,-0.44653,0.28529,1.75351,0.49188,-0.10874,1.25375,0.04156,0.50638,0.80474,0.72133,0.10911,0.83468,0.72508,0.45276,-0.59804,0.73379,1.1324,0.31695,0.91665,1.28435,1.28079,0.99065,0.01299,0.78622,-0.04767,0.06422,0.08599,0.12714,0.02702,0.56468,0.42293,-0.18194,0.72882,1.26204,0.87109,1.62034,0.70221,1.27886,1.57483,0.3154,0.09172,0.25361,-0.29483,0.93178,1.99248,0.29589
-0.91221,-0.08154,-0.40459,-0.34657,-0.95162,-1.81691,-0.44197,0.83286,0.62206,-0.6839,-1.85663,-1.74849,-1.04964,-0.36726,-0.35008,0.67128,-0.57215,0.42233,-0.4616,0.5321,0.43429,0.22462,-0.64504,-0.4188,-0.9958,0.05982,-0.05231,0.29411,-1.497,-1.82916,-0.53646,-0.66394,0.29765,-0.46271,-0.46149,-0.09834,-0.84197,-0.296,-0.11801,-0.98624,-1.93551,-2.22753,-1.51113,-3.74976,-0.24991,0.02891,0.29734,-0.71652,0.23504,-0.95608,-2.86598,-1.16178,-3.62779,-0.78854,-1.91982,1,0.01919,0.13656,-0.0461,-0.2143,-0.52373,-0.14994,0.12012,-0.34344,-1.31571,0.15877,-1.61726,-1.41403,-0.27663,-1.22883,-0.48105,-0.16214,-1.12134,-0.42203,-0.39884,0.12633,-0.81463,-0.33672,-0.46131,-1.22313,-1.49741,-1.04817,-0.53528,-1.96909,-0.67664,-1.62321,0.84954,-1.4812,0.22105,0.02949,-0.09026,-0.13826,0.02575,-0.15685,-0.66402,-0.48439,-1.28934,-2.00822,-0.71956,-0.82044,-1.22501,-1.33106,-0.83354,-1.13983,-0.43842,-0.06911,0.66386,-2.33861,-3.45374,-0.07172
-1.71987,-0.8343,-1.61066,1.65224,-3.69908,-2.25815,0.1769,3.22626,1.82428,-2.4765,-1.22057,-2.19217,-2.20032,-2.16653,-2.4899,4.04145,-1.49266,2.26435,-2.38177,0.24291,2.28627,0.82031,-1.52338,0.72609,-4.52677,-0.59879,0.0366,-1.0491,-5.23561,-4.92962,-0.85789,-0.12635,0.94043,-1.12824,-2.06904,-0.58155,0.04907,0.31028,-0.252,-1.88727,-3.7908,-4.91907,-1.11366,-6.94511,-2.25776,0.80997,0.40208,-0.5677,3.98668,-0.76129,-10.14351,-2.02965,-10.23935,-0.76005,-4.20543,1,0.33954,1.28121,-0.77111,0.03332,-1.56568,-1.49938,0.49317,-2.4913,-5.20526,-0.18511,-2.20823,-3.81661,-1.63308,-1.74342,-4.13694,0.56302,-2.6622,-0.61717,-1.89926,2.30904,0.54183,-0.80413,-4.72523,-4.29186,-2.37362,-2.37234,1.11252,-4.53753,-1.21608,-6.55491,2.67623,-2.52837,0.68478,0.25296,0.01444,-0.81959,-0.43267,0.98681,-1.63393,-3.09821,-2.20626,-3.80107,0.72789,0.57323,-3.78556,1.10533,2.1417,-5.80787,-2.02607,-0.12713,0.43829,-3.63802,-6.17742,0.90021
-1.17378,-0.53954,-0.98736,1.37035,-2.52347,-1.46332,0.22478,2.41725,1.34,-1.78095,-0.74998,-1.5648,-1.59043,-1.29882,-1.74765,2.86505,-0.84973,1.66221,-1.8391,0.35143,1.76062,0.54875,-1.0478,0.51855,-3.06921,-0.25696,-0.00505,-0.36006,-3.52263,-3.2489,-0.37473,0.04184,0.71698,-0.73451,-1.35737,-0.36294,0.06503,0.10148,-0.12971,-1.29538,-2.38497,-3.41873,-0.66543,-4.8808,-1.56846,0.75271,0.55413,-0.42679,2.81591,-0.64832,-6.81443,-1.47139,-7.5646,-0.38644,-2.84286,1,0.02795,0.93021,-0.64403,0.47106,-0.97765,-0.988,0.42464,-1.6677,-3.49723,-0.07846,-1.16777,-2.63176,-1.03854,-0.92325,-2.70706,0.48794,-1.78987,-0.29934,-1.25031,1.61568,0.3077,-0.42787,-3.23144,-2.83911,-1.55196,-1.95285,1.04835,-2.97264,-0.76026,-4.33983,1.92786,-1.84731,0.53509,0.22914,-0.05601,-0.48673,-0.29409,0.7138,-1.11333,-2.08841,-1.23713,-2.58323,0.54718,0.58183,-2.48893,0.77287,1.70234,-3.90899,-1.08344,-0.14421,0.4366,-2.45221,-4.35997,0.59216
