Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,Cell 16,Cell 17,Cell 18,Cell 19,Cell 20,Cell 21,Cell 22,Cell 23,Cell 24,Cell 25,Cell 26,Cell 27,Cell 28,Cell 29,Cell 30,Cell 31,Cell 32,Cell 33,Cell 34,Cell 35,Cell 36,Cell 37,Cell 38,Cell 39,Cell 40,Cell 41,Cell 42,Cell 43,Cell 44,Cell 45,Cell 46,Cell 47,Cell 48,Cell 49,Cell 50,Cell 51,Cell 52,Cell 53,Cell 54,Cell 55,Cell 56,Cell 57,Cell 58,Cell 59,Cell 60,Cell 61,Cell 62,Cell 63,Cell 64,Cell 65,Cell 66,Cell 67,Cell 68,Cell 69,Cell 70,Cell 71,Cell 72,Cell 73,Cell 74,Cell 75,Cell 76,Cell 77,Cell 78,Cell 79,Cell 80,Cell 81,Cell 82,Cell 83,Cell 84,Cell 85,Cell 86,Cell 87,Cell 88,Cell 89,Cell 90,Cell 91,Cell 92,Cell 93,Cell 94,Cell 95,Cell 96,Cell 97,Cell 98,Cell 99,Cell 100,Cell 101,Cell 102,Cell 103,Cell 104,Cell 105,Cell 106,Cell 107,Cell 108,Cell 109,Cell 110
0.45175,-0.60013,0.78046,0.26508,-2.02033,0.1633,-3.06073,0.1163,2.87894,-1.90548,0.51538,0.14389,0.22218,0.78376,-0.81993,-0.73267,0.81624,0.92026,-0.08106,-0.5604,-1.4738,-0.31908,1.1303,1.36726,1.08647,0.74759,-0.67789,0.61663,-2.06244,1.52634,-1.85373,-0.4198,-3.86099,-0.52805,-2.14482,-2.08238,-2.70746,-1.51591,1.28224,1.90785,0.75168,-1.52356,-1.95208,-2.18033,-1.47683,2.3835,2.60145,-1.00568,-4.73993,-0.50997,1.61122,0.39393,-1.49492,-2.2169,0.27472,-1.63538,-2.56541,2.81056,0.88884,-0.84343,-1.13875,1.62284,-1.91327,0.58257,-0.59089,-1.35604,1.75868,-2.75604,-1.73333,-0.42442,-0.82508,-1.43116,-2.83248,-1.15023,-2.47314,-0.59168,-5.32634,2.31894,-8.07406,1.04317,-0.27419,0.85135,-5.31617,-1.78403,2.70046,-3.43234,-0.48092,-1.19894,-0.05941,-0.17782,-0.04251,1.06508,-0.35314,1.39868,-1.07644,-3.00356,0.6231,-0.21228,1.16713,-0.41333,0.96607,1.3171,-3.86508,-6.26495,-2.01558,2.83921,-6.00713,3.7068,-3.45822,-1.29281
-1.8165,0.30535,-1.9926,-0.49388,3.581,-0.23032,5.1883,1.27361,-4.32691,6.21108,0.61061,-1.44087,0.4056,-0.57108,1.89808,2.15717,0.47008,-0.23859,0.62614,2.45378,3.24494,0.6332,-1.88321,-1.63759,-3.37771,-0.58347,3.28392,-0.43527,4.48623,-2.40564,3.50547,4.35242,6.40889,2.35634,3.95715,4.27897,5.68616,4.25629,-1.90411,-3.60839,-2.02979,5.08544,6.38472,0.21183,5.14015,-9.15E-04,0.84738,2.68128,10.58338,4.21083,-3.63136,-3.97291,-2.17196,6.77652,-0.23764,1.71222,3.90853,-5.06552,0.20297,0.58968,-1.34679,-1.8004,2.77556,-1.11754,-0.48811,5.17526,-1.98106,5.3239,2.08205,2.37718,3.24451,3.89518,7.10192,4.10188,4.75987,3.44027,10.1082,-4.22692,15.97259,0.64552,0.84902,2.92568,10.34726,4.78534,-0.17897,10.06161,1.56616,1.93009,0.2755,0.88865,0.97554,-1.22921,0.32343,-2.2914,2.38842,6.43198,-2.89358,1.07691,-1.27719,2.8204,0.12264,1.15855,7.68035,15.12037,2.57768,-4.20753,13.0901,-8.69468,7.45679,2.81336
-6.84405,0.77767,-6.97036,1.59E+00,9.82115,2.39474,17.47937,9.40354,-12.50847,29.2951,10.09314,-7.35174,3.74982,-0.12591,5.15721,10.29166,6.52286,3.64393,0.89944,11.34198,12.60195,1.10652,-5.17741,-1.57262,-15.76545,0.19544,16.50461,2.26758,15.72602,-6.78426,12.09621,25.1666,20.52095,10.62316,13.5696,15.22425,25.61996,17.37644,-5.46236,-11.27554,-5.25013,26.66193,33.50042,-4.69707,22.23797,12.72261,14.76732,10.37313,42.96266,25.66414,-13.8122,-19.60842,-19.39843,3.04E+01,0.49744,2.75896,11.25176,-18.3721,5.54346,2.57657,-11.56979,-3.40977,9.14001,-3.13974,-7.9543,25.11957,0.36772,20.55388,4.60049,14.35196,15.58256,16.29604,30.56379,19.63603,17.07186,18.79943,36.11681,-12.54096,55.24239,8.87812,6.43863,18.32216,37.74184,22.63545,14.24454,45.63532,6.71E+00,8.00069,0.7782,3.91332,5.96048,-2.46194,1,-5.36318,9.46854,23.20937,-11.86435,8.49404,-0.70805,17.51682,5.78765,12.36406,32.11289,59.61225,6.53147,-11.42509,48.34226,-32.00804,34.05182,10.94486
-6.28238,0.17896,-5.95078,9.92622,3.14944,11.25201,15.91507,17.5958,-7.6045,41.48699,29.14459,-7.77516,9.00564,3.72045,1.12097,14.67755,15.67482,11.51379,-3.03316,15.15499,14.82565,-1.55283,-1.52855,6.94323,-22.10541,4.07887,24.62672,9.96084,15.72199,-1.14734,11.72679,43.03046,15.94499,14.75363,12.11974,14.34537,37.26128,20.75901,-2.79968,-6.28956,1.98351,43.20817,55.14386,-7.9244,27.32333,35.62416,34.05708,12.66636,51.95478,44.76879,-12.48345,-26.98049,-36.64423,41.86189,5.08972,-3.50669,4.91539,-18.68067,13.28324,5.11887,-22.24539,2.01161,8.05128,-0.80054,-18.9915,35.03223,18.18701,23.88467,-0.28447,27.09059,21.10504,20.96297,39.94076,29.0295,16.86737,30.92825,36.66675,-6.27201,47.7118,21.37583,15.75285,30.2886,40.1761,34.94552,41.05898,62.13103,8.40941,12.17667,0.29263,5.0079,9.76654,1.07834,1,1.42622,12.08049,21.8553,-10.92432,19.88062,8.39179,33.98472,16.30073,28.17446,42.91191,66.25957,2.72955,-4.05634,47.26958,-28.51701,51.36592,12.91212
0.68157,1.16E-03,-0.50126,17.55304,-5.96958,21.42117,8.85062,15.12616,-1.20292,31.77318,42.70603,3.68997,12.2452,5.62541,-5.31071,11.19372,17.20422,12.6122,-8.02114,8.53866,10.33036,-4.45676,4.60688,13.5067,-15.92179,4.97194,18.7734,13.12512,9.89553,10.15675,7.76542,39.79857,3.98672,11.54487,4.83351,5.49121,35.07719,12.86699,1.20344,5.59217,16.11235,41.81648,54.57146,9.22168,15.24063,38.57991,30.39536,10.92326,35.83174,41.63496,1.43269,-14.69659,-24.68695,33.81772,12.21104,-8.42506,-5.36635,-10.12333,11.6072,8.88448,-16.74775,5.47947,4.14415,3.02538,-18.3006,23.31518,35.0754,17.80872,-3.66994,30.83565,13.28078,15.81791,30.59139,24.47754,8.45908,27.53622,22.49884,5.59406,11.00538,23.90875,23.39673,22.67241,26.61505,35.12542,45.32962,46.50511,4.14537,15.79222,-0.7941,3.11237,7.28621,3.63983,1,10.02057,10.91307,7.27318,3.27581,27.85673,16.96656,38.98595,20.22411,32.2043,38.93757,35.4182,0.39937,5.20902,16.33512,-0.29838,52.81831,9.24671
572.16227,-19.79126,216.14771,1005.0534,-83.67476,1732.30444,496.33911,107.78988,-235.19764,807.41748,2563.01595,1345.05479,854.90915,243.24202,-263.5111,158.85576,702.34743,268.51248,-332.82663,-208.07975,236.26768,-253.30444,495.83495,745.8835,-59.23232,62.68863,359.88558,256.46117,731.09639,1279.33148,536.2025,1365.8724,-79.06241,430.50832,148.53953,24.54993,1497.89598,343.75589,133.44313,814.16852,1686.2129,1992.99445,2342.78155,2591.3613,84.13384,1016.87101,475.48752,733.37448,929.9577,1416.06449,1313.7552,443.27393,1026.19764,1240.56796,1317.92233,-675.26075,-398.43551,-159.48682,81.39459,605.04508,24.49098,139.24133,94.92926,206.30929,15.14355,168.76352,2225.18793,917.06172,-23.7337,1615.15049,108.45839,549.61165,1110.41054,812.40707,208.95284,762.31415,1017.82039,533.06865,-500.18793,1046.35853,1588.66782,618.56311,1107.31831,1855.42372,1374.54438,1364.44591,-265.78571,1257.15811,-113.39945,56.39736,103.8405,147.43273,1,609.9362,614.80305,-62.73509,1164.11234,1877.35853,1114.72746,1837.84813,1033.57143,1752.25104,1855.81137,575.73232,227.8301,243.68169,-547.75728,1739.75867,3056.46117,324.67684
561.48539,-19.82305,212.02029,988.42208,-85.68182,1700.36607,487.09497,107.16071,-229.87744,789.17127,2517.57955,1321.55357,838.21672,237.91964,-260.74675,157.53977,688.45617,264.78084,-329.60227,-204.91477,233.69643,-248.56981,486.42695,732.54951,-59.70536,61.38312,351.88068,252.76786,714.82143,1255.07711,526.54302,1339.60552,-77.18425,421.32711,144.13961,22.89448,1470.47646,335.88636,131.07955,799.35795,1655.59172,1952.55276,2298.93344,2544.32711,79.23701,997.67614,465.32143,719.9789,913.47484,1387.19886,1286.50406,435.94156,1003.88474,1216.63799,1292.15828,-661.10146,-393.02841,-155.53409,77.7086,595.77435,25.52922,135.92695,93.82873,202.24675,13.23214,162.80844,2186.18019,897.11688,-23.53977,1585.59172,102.67857,539.83036,1087.01867,796.71185,203.47808,748.7151,998.54302,524.44805,-498.25731,1024.51218,1559.79058,601.93831,1087.6039,1819.17532,1346.75325,1333.16802,-259.88718,1233.4724,-111.02354,55.26542,100.59091,144.53977,1,600.14448,603.03896,-65.37581,1145,1841.97646,1095.3888,1806.08117,1012.61607,1719.55114,1823.70049,557.83279,223.58279,239.34172,-541.68182,1709.69968,2996.28247,318.87987
345.94693,60.9242,174.61919,-16.02298,484.68082,601.86058,108.64442,-427.14148,-270.17414,282.36357,504.94218,598.66346,389.77167,174.41964,234.2972,-391.26243,193.75287,-252.71366,290.19993,-193.92027,-268.33104,-83.20167,245.42145,71.24732,508.67376,-15.14436,-0.39954,-122.44093,653.9533,714.74195,164.08148,139.99013,-140.937,172.65129,223.16159,50.24063,188.13031,85.86988,37.45317,355.93488,681.35546,835.36595,399.98839,1385.30513,165.76449,-118.47771,-170.06868,219.43494,-287.71198,284.77579,1254.40516,455.3976,1605.13199,210.14898,734.26817,-373.60696,34.45511,-79.39123,52.84597,0.86776,224.82043,88.16321,-75.44599,181.57093,635.71016,-55.55969,455.99338,578.94655,148.11407,359.02579,298.97527,-10.12569,415.76592,104.13493,189.19237,-176.69699,205.47709,95.93706,372.38006,499.40229,493.10377,454.08117,56.15335,716.46653,197.29171,702.83835,-379.72783,529.6702,-96.31475,-26.39941,37.38761,63.16065,1,-27.80057,243.87962,290.39891,425.27473,705.6358,152.8888,119.72403,487.3853,323.15553,75.4917,567.31081,185.36851,16.78128,-202.3027,825.89198,1242.52423,-27.01573
355.91658,61.83503,179.48,-11.12904,494.11698,622.59858,113.81507,-435.31175,-276.84952,290.62314,527.69335,618.14423,401.71188,179.24006,237.6419,-398.31261,201.07978,-256.65939,294.04662,-199.05733,-272.12294,-86.16661,252.80636,76.31217,519.26908,-15.16761,0.5337,-123.5202,670.89976,735.90827,170.77448,148.80594,-143.9108,178.07679,228.36043,51.44241,198.79621,88.77528,38.96391,367.20891,704.02113,860.78404,418.92629,1427.08337,168.74629,-116.91581,-171.66788,227.69816,-289.29867,296.01151,1286.92576,467.52986,1642.84454,220.20168,755.76959,-383.6556,32.826,-81.36196,53.23633,4.76187,230.54292,90.40885,-76.30235,186.14451,649.74274,-56.85327,476.72294,594.63959,151.31782,374.5311,304.98756,-7.52583,428.89843,109.97207,193.90807,-177.17759,214.62419,100.62598,376.82999,514.15837,510.863,464.54697,63.30701,739.71727,206.13616,722.38951,-388.78306,546.37327,-98.7213,-26.56072,38.07949,65.04389,1,-25.33624,251.7822,295.49025,440.73664,729.03365,161.4121,131.13718,501.89776,338.16874,86.46367,580.54591,191.05937,17.77431,-209.8828,852.11997,1281.60594,-26.0425
1.75752,1.65356,3.01323,-2.87645,5.48051,1.6189,-0.74398,-3.96856,-2.14929,3.58866,-0.17151,0.96288,2.26203,4.54804,4.10474,-6.48102,2.81194,-3.21528,2.90272,1.3549,-2.86687,-1.40104,1.91768,-2.07499,7.30926,2.03127,-0.19692,4.49172,8.11276,7.23304,1.68296,-0.17341,-1.00559,1.62795,3.56178,1.14814,-1.24207,-1.67319,0.49316,2.04787,5.10968,5.78622,0.30289,6.64991,4.07315,-0.41998,1.15608,-0.25151,-7.07833,-0.55441,15.83573,1.46462,11.35037,0.86289,5.11222,1.23383,-1.73018,-2.25583,1.02591,1.51825,2.51375,3.03472,-0.34574,4.72319,8.19175,0.95761,3.36309,5.02244,3.11111,2.66212,8.09453,-0.88079,3.58135,1.18343,3.35206,-4.09487,-2.82145,1.67134,8.56218,7.05021,2.54914,1.37932,-1.92402,6.33276,1.77989,11.14739,-3.39905,1.99771,-0.723,-0.2149,-0.51028,1.75449,1,-1.98048,2.216,5.42141,3.3272,4.28382,-2.51183,-1.45618,5.9713,-4.60647,-4.62741,10.01791,4.58216,-0.02498,0.79556,3.20833,5.77046,-2.00227
